matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=0781,2019-03-24
Matches/MatchScorecard_T20.asp?MatchCode=0776,2019-03-22
Matches/MatchScorecard_T20.asp?MatchCode=0773,2019-03-19
Matches/MatchScorecard_T20.asp?MatchCode=0716,2018-10-12
Matches/MatchScorecard_T20.asp?MatchCode=0711,2018-08-14
Matches/MatchScorecard_T20.asp?MatchCode=0670,2018-02-24
Matches/MatchScorecard_T20.asp?MatchCode=0669,2018-02-21
Matches/MatchScorecard_T20.asp?MatchCode=0667,2018-02-18
Matches/MatchScorecard_T20.asp?MatchCode=0644,2017-10-29
Matches/MatchScorecard_T20.asp?MatchCode=0641,2017-10-26
Matches/MatchScorecard_T20.asp?MatchCode=0609,2017-02-17
Matches/MatchScorecard_T20.asp?MatchCode=0539,2016-03-09
Matches/MatchScorecard_T20.asp?MatchCode=0533,2016-03-06
Matches/MatchScorecard_T20.asp?MatchCode=0532,2016-03-04
Matches/MatchScorecard_T20.asp?MatchCode=0555,2016-03-20
Matches/MatchScorecard_T20.asp?MatchCode=0553,2016-03-18
Matches/MatchScorecard_T20.asp?MatchCode=0518,2016-02-21
Matches/MatchScorecard_T20.asp?MatchCode=0516,2016-02-19
Matches/MatchScorecard_T20.asp?MatchCode=0438,2015-07-07
Matches/MatchScorecard_T20.asp?MatchCode=0469,2015-10-05
Matches/MatchScorecard_T20.asp?MatchCode=0437,2015-07-05
Matches/MatchScorecard_T20.asp?MatchCode=0468,2015-10-02
Matches/MatchScorecard_T20.asp?MatchCode=0424,2015-01-14
Matches/MatchScorecard_T20.asp?MatchCode=0369,2014-03-12
Matches/MatchScorecard_T20.asp?MatchCode=0415,2014-11-09
Matches/MatchScorecard_T20.asp?MatchCode=0414,2014-11-07
Matches/MatchScorecard_T20.asp?MatchCode=0413,2014-11-05
Matches/MatchScorecard_T20.asp?MatchCode=0405,2014-04-04
Matches/MatchScorecard_T20.asp?MatchCode=0397,2014-03-29
Matches/MatchScorecard_T20.asp?MatchCode=0392,2014-03-27
Matches/MatchScorecard_T20.asp?MatchCode=0389,2014-03-24
Matches/MatchScorecard_T20.asp?MatchCode=0385,2014-03-22
Matches/MatchScorecard_T20.asp?MatchCode=0371,2014-03-14
Matches/MatchScorecard_T20.asp?MatchCode=0348,2013-11-22
Matches/MatchScorecard_T20.asp?MatchCode=0345,2013-11-20
Matches/MatchScorecard_T20.asp?MatchCode=0338,2013-11-13
Matches/MatchScorecard_T20.asp?MatchCode=0329,2013-08-06
Matches/MatchScorecard_T20.asp?MatchCode=0328,2013-08-04
Matches/MatchScorecard_T20.asp?MatchCode=0327,2013-08-02
Matches/MatchScorecard_T20.asp?MatchCode=0263,2012-09-10
Matches/MatchScorecard_T20.asp?MatchCode=0284,2012-09-30
Matches/MatchScorecard_T20.asp?MatchCode=0280,2012-09-28
Matches/MatchScorecard_T20.asp?MatchCode=0272,2012-09-22
Matches/MatchScorecard_T20.asp?MatchCode=0269,2012-09-20
Matches/MatchScorecard_T20.asp?MatchCode=0261,2012-09-08
Matches/MatchScorecard_T20.asp?MatchCode=0225,2012-02-22
Matches/MatchScorecard_T20.asp?MatchCode=0224,2012-02-19
Matches/MatchScorecard_T20.asp?MatchCode=0223,2012-02-17
Matches/MatchScorecard_T20.asp?MatchCode=0289,2012-10-02
Matches/MatchScorecard_T20.asp?MatchCode=0214,2011-10-16
Matches/MatchScorecard_T20.asp?MatchCode=0212,2011-10-13
Matches/MatchScorecard_T20.asp?MatchCode=0198,2011-01-09
Matches/MatchScorecard_T20.asp?MatchCode=0193,2010-10-27
Matches/MatchScorecard_T20.asp?MatchCode=0192,2010-10-26
Matches/MatchScorecard_T20.asp?MatchCode=0191,2010-10-10
Matches/MatchScorecard_T20.asp?MatchCode=0172,2010-05-10
Matches/MatchScorecard_T20.asp?MatchCode=0190,2010-10-08
Matches/MatchScorecard_T20.asp?MatchCode=0169,2010-05-08
Matches/MatchScorecard_T20.asp?MatchCode=0165,2010-05-06
Matches/MatchScorecard_T20.asp?MatchCode=0180,2010-05-20
Matches/MatchScorecard_T20.asp?MatchCode=0179,2010-05-19
Matches/MatchScorecard_T20.asp?MatchCode=0163,2010-05-05
Matches/MatchScorecard_T20.asp?MatchCode=0156,2010-05-02
Matches/MatchScorecard_T20.asp?MatchCode=0127,2009-11-15
Matches/MatchScorecard_T20.asp?MatchCode=0126,2009-11-13
Matches/MatchScorecard_T20.asp?MatchCode=0104,2009-06-11
Matches/MatchScorecard_T20.asp?MatchCode=0081,2009-01-11
Matches/MatchScorecard_T20.asp?MatchCode=0100,2009-06-09
Matches/MatchScorecard_T20.asp?MatchCode=0095,2009-06-07
Matches/MatchScorecard_T20.asp?MatchCode=0115,2009-06-18
Matches/MatchScorecard_T20.asp?MatchCode=0114,2009-06-16
Matches/MatchScorecard_T20.asp?MatchCode=0107,2009-06-13
Matches/MatchScorecard_T20.asp?MatchCode=0089,2009-03-29
Matches/MatchScorecard_T20.asp?MatchCode=0088,2009-03-27
Matches/MatchScorecard_T20.asp?MatchCode=0082,2009-01-13
Matches/MatchScorecard_T20.asp?MatchCode=0078,2008-11-05
Matches/MatchScorecard_T20.asp?MatchCode=0051,2008-01-18
Matches/MatchScorecard_T20.asp?MatchCode=0050,2007-12-16
Matches/MatchScorecard_T20.asp?MatchCode=0048,2007-11-23
Matches/MatchScorecard_T20.asp?MatchCode=0034,2007-09-16
Matches/MatchScorecard_T20.asp?MatchCode=0031,2007-09-15
