matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=1079,2020-01-29
Matches/MatchScorecard_T20.asp?MatchCode=1077,2020-01-26
Matches/MatchScorecard_T20.asp?MatchCode=1074,2020-01-24
Matches/MatchScorecard_T20.asp?MatchCode=0745,2019-02-10
Matches/MatchScorecard_T20.asp?MatchCode=0744,2019-02-08
Matches/MatchScorecard_T20.asp?MatchCode=0742,2019-02-06
Matches/MatchScorecard_T20.asp?MatchCode=0723,2018-10-31
Matches/MatchScorecard_T20.asp?MatchCode=0726,2018-11-04
Matches/MatchScorecard_T20.asp?MatchCode=0657,2018-02-03
Matches/MatchScorecard_T20.asp?MatchCode=0653,2018-01-03
Matches/MatchScorecard_T20.asp?MatchCode=0668,2018-02-21
Matches/MatchScorecard_T20.asp?MatchCode=0665,2018-02-18
Matches/MatchScorecard_T20.asp?MatchCode=0664,2018-02-16
Matches/MatchScorecard_T20.asp?MatchCode=0662,2018-02-13
Matches/MatchScorecard_T20.asp?MatchCode=0724,2018-11-02
Matches/MatchScorecard_T20.asp?MatchCode=0656,2018-01-28
Matches/MatchScorecard_T20.asp?MatchCode=0655,2018-01-25
Matches/MatchScorecard_T20.asp?MatchCode=0652,2018-01-01
Matches/MatchScorecard_T20.asp?MatchCode=0590,2017-01-08
Matches/MatchScorecard_T20.asp?MatchCode=0647,2017-11-07
Matches/MatchScorecard_T20.asp?MatchCode=0589,2017-01-06
Matches/MatchScorecard_T20.asp?MatchCode=0646,2017-11-04
Matches/MatchScorecard_T20.asp?MatchCode=0588,2017-01-03
Matches/MatchScorecard_T20.asp?MatchCode=0609,2017-02-17
Matches/MatchScorecard_T20.asp?MatchCode=0645,2017-11-01
Matches/MatchScorecard_T20.asp?MatchCode=0489,2016-01-10
Matches/MatchScorecard_T20.asp?MatchCode=0487,2016-01-07
Matches/MatchScorecard_T20.asp?MatchCode=0568,2016-03-30
Matches/MatchScorecard_T20.asp?MatchCode=0563,2016-03-26
Matches/MatchScorecard_T20.asp?MatchCode=0558,2016-03-22
Matches/MatchScorecard_T20.asp?MatchCode=0552,2016-03-18
Matches/MatchScorecard_T20.asp?MatchCode=0548,2016-03-15
Matches/MatchScorecard_T20.asp?MatchCode=0496,2016-01-22
Matches/MatchScorecard_T20.asp?MatchCode=0492,2016-01-17
Matches/MatchScorecard_T20.asp?MatchCode=0491,2016-01-15
Matches/MatchScorecard_T20.asp?MatchCode=0462,2015-08-09
Matches/MatchScorecard_T20.asp?MatchCode=0464,2015-08-16
Matches/MatchScorecard_T20.asp?MatchCode=0463,2015-08-14
Matches/MatchScorecard_T20.asp?MatchCode=0432,2015-06-23
Matches/MatchScorecard_T20.asp?MatchCode=0409,2014-07-06
Matches/MatchScorecard_T20.asp?MatchCode=0421,2014-12-05
Matches/MatchScorecard_T20.asp?MatchCode=0408,2014-07-05
Matches/MatchScorecard_T20.asp?MatchCode=0420,2014-12-04
Matches/MatchScorecard_T20.asp?MatchCode=0401,2014-03-31
Matches/MatchScorecard_T20.asp?MatchCode=0396,2014-03-29
Matches/MatchScorecard_T20.asp?MatchCode=0389,2014-03-24
Matches/MatchScorecard_T20.asp?MatchCode=0386,2014-03-22
Matches/MatchScorecard_T20.asp?MatchCode=0264,2012-09-11
Matches/MatchScorecard_T20.asp?MatchCode=0221,2012-02-11
Matches/MatchScorecard_T20.asp?MatchCode=0282,2012-09-29
Matches/MatchScorecard_T20.asp?MatchCode=0278,2012-09-27
Matches/MatchScorecard_T20.asp?MatchCode=0274,2012-09-23
Matches/MatchScorecard_T20.asp?MatchCode=0270,2012-09-21
Matches/MatchScorecard_T20.asp?MatchCode=0249,2012-06-30
Matches/MatchScorecard_T20.asp?MatchCode=0225,2012-02-22
Matches/MatchScorecard_T20.asp?MatchCode=0224,2012-02-19
Matches/MatchScorecard_T20.asp?MatchCode=0223,2012-02-17
Matches/MatchScorecard_T20.asp?MatchCode=0222,2012-02-14
Matches/MatchScorecard_T20.asp?MatchCode=0250,2012-07-01
Matches/MatchScorecard_T20.asp?MatchCode=0213,2011-10-15
