matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=1060,2019-11-17
Matches/MatchScorecard_T20.asp?MatchCode=1059,2019-11-16
Matches/MatchScorecard_T20.asp?MatchCode=0877,2019-08-06
Matches/MatchScorecard_T20.asp?MatchCode=0874,2019-08-04
Matches/MatchScorecard_T20.asp?MatchCode=0872,2019-08-03
Matches/MatchScorecard_T20.asp?MatchCode=0735,2018-12-22
Matches/MatchScorecard_T20.asp?MatchCode=0734,2018-12-20
Matches/MatchScorecard_T20.asp?MatchCode=0733,2018-12-17
Matches/MatchScorecard_T20.asp?MatchCode=0728,2018-11-11
Matches/MatchScorecard_T20.asp?MatchCode=0707,2018-07-31
Matches/MatchScorecard_T20.asp?MatchCode=0727,2018-11-06
Matches/MatchScorecard_T20.asp?MatchCode=0682,2018-05-31
Matches/MatchScorecard_T20.asp?MatchCode=0710,2018-08-05
Matches/MatchScorecard_T20.asp?MatchCode=0725,2018-11-04
Matches/MatchScorecard_T20.asp?MatchCode=0709,2018-08-04
Matches/MatchScorecard_T20.asp?MatchCode=0701,2018-04-03
Matches/MatchScorecard_T20.asp?MatchCode=0679,2018-04-02
Matches/MatchScorecard_T20.asp?MatchCode=0678,2018-04-01
