matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=0588,2017-01-03
Matches/MatchScorecard_T20.asp?MatchCode=0346,2013-11-21
Matches/MatchScorecard_T20.asp?MatchCode=0124,2009-11-12
Matches/MatchScorecard_T20.asp?MatchCode=0125,2009-11-13
Matches/MatchScorecard_T20.asp?MatchCode=0103,2009-06-11
Matches/MatchScorecard_T20.asp?MatchCode=0100,2009-06-09
Matches/MatchScorecard_T20.asp?MatchCode=0123,2009-09-04
Matches/MatchScorecard_T20.asp?MatchCode=0086,2009-02-27
Matches/MatchScorecard_T20.asp?MatchCode=0085,2009-02-25
Matches/MatchScorecard_T20.asp?MatchCode=0084,2009-02-15
Matches/MatchScorecard_T20.asp?MatchCode=0122,2009-09-02
