matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=1070,2020-01-10
Matches/MatchScorecard_T20.asp?MatchCode=1069,2020-01-07
Matches/MatchScorecard_T20.asp?MatchCode=1068,2020-01-05
Matches/MatchScorecard_T20.asp?MatchCode=1055,2019-11-10
Matches/MatchScorecard_T20.asp?MatchCode=0745,2019-02-10
Matches/MatchScorecard_T20.asp?MatchCode=0926,2019-09-22
Matches/MatchScorecard_T20.asp?MatchCode=0921,2019-09-18
Matches/MatchScorecard_T20.asp?MatchCode=0744,2019-02-08
Matches/MatchScorecard_T20.asp?MatchCode=1047,2019-11-07
Matches/MatchScorecard_T20.asp?MatchCode=0877,2019-08-06
Matches/MatchScorecard_T20.asp?MatchCode=0742,2019-02-06
Matches/MatchScorecard_T20.asp?MatchCode=0874,2019-08-04
Matches/MatchScorecard_T20.asp?MatchCode=1042,2019-11-03
Matches/MatchScorecard_T20.asp?MatchCode=0872,2019-08-03
Matches/MatchScorecard_T20.asp?MatchCode=0767,2019-02-27
Matches/MatchScorecard_T20.asp?MatchCode=0674,2018-03-12
Matches/MatchScorecard_T20.asp?MatchCode=0732,2018-11-25
Matches/MatchScorecard_T20.asp?MatchCode=0731,2018-11-23
Matches/MatchScorecard_T20.asp?MatchCode=0730,2018-11-21
Matches/MatchScorecard_T20.asp?MatchCode=0728,2018-11-11
Matches/MatchScorecard_T20.asp?MatchCode=0706,2018-07-08
Matches/MatchScorecard_T20.asp?MatchCode=0672,2018-03-08
Matches/MatchScorecard_T20.asp?MatchCode=0693,2018-06-27
Matches/MatchScorecard_T20.asp?MatchCode=0727,2018-11-06
Matches/MatchScorecard_T20.asp?MatchCode=0704,2018-07-06
Matches/MatchScorecard_T20.asp?MatchCode=0671,2018-03-06
Matches/MatchScorecard_T20.asp?MatchCode=0725,2018-11-04
Matches/MatchScorecard_T20.asp?MatchCode=0677,2018-03-18
Matches/MatchScorecard_T20.asp?MatchCode=0675,2018-03-14
Matches/MatchScorecard_T20.asp?MatchCode=0699,2018-07-03
Matches/MatchScorecard_T20.asp?MatchCode=0670,2018-02-24
Matches/MatchScorecard_T20.asp?MatchCode=0669,2018-02-21
Matches/MatchScorecard_T20.asp?MatchCode=0667,2018-02-18
Matches/MatchScorecard_T20.asp?MatchCode=0638,2017-10-10
Matches/MatchScorecard_T20.asp?MatchCode=0631,2017-07-09
Matches/MatchScorecard_T20.asp?MatchCode=0647,2017-11-07
Matches/MatchScorecard_T20.asp?MatchCode=0637,2017-10-07
Matches/MatchScorecard_T20.asp?MatchCode=0646,2017-11-04
Matches/MatchScorecard_T20.asp?MatchCode=0645,2017-11-01
Matches/MatchScorecard_T20.asp?MatchCode=0510,2016-02-12
Matches/MatchScorecard_T20.asp?MatchCode=0509,2016-02-09
Matches/MatchScorecard_T20.asp?MatchCode=0534,2016-03-06
Matches/MatchScorecard_T20.asp?MatchCode=0566,2016-03-27
Matches/MatchScorecard_T20.asp?MatchCode=0560,2016-03-23
Matches/MatchScorecard_T20.asp?MatchCode=0554,2016-03-19
Matches/MatchScorecard_T20.asp?MatchCode=0548,2016-03-15
Matches/MatchScorecard_T20.asp?MatchCode=0530,2016-03-03
Matches/MatchScorecard_T20.asp?MatchCode=0522,2016-02-24
Matches/MatchScorecard_T20.asp?MatchCode=0511,2016-02-14
Matches/MatchScorecard_T20.asp?MatchCode=0501,2016-01-31
Matches/MatchScorecard_T20.asp?MatchCode=0499,2016-01-29
Matches/MatchScorecard_T20.asp?MatchCode=0498,2016-01-26
Matches/MatchScorecard_T20.asp?MatchCode=0528,2016-03-01
Matches/MatchScorecard_T20.asp?MatchCode=0469,2015-10-05
Matches/MatchScorecard_T20.asp?MatchCode=0468,2015-10-02
Matches/MatchScorecard_T20.asp?MatchCode=0411,2014-09-07
Matches/MatchScorecard_T20.asp?MatchCode=0395,2014-03-28
Matches/MatchScorecard_T20.asp?MatchCode=0388,2014-03-23
Matches/MatchScorecard_T20.asp?MatchCode=0384,2014-03-21
Matches/MatchScorecard_T20.asp?MatchCode=0335,2013-10-10
Matches/MatchScorecard_T20.asp?MatchCode=0202,2011-06-04
