matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=0367,2014-03-09
Matches/MatchScorecard_T20.asp?MatchCode=0400,2014-03-31
Matches/MatchScorecard_T20.asp?MatchCode=0397,2014-03-29
Matches/MatchScorecard_T20.asp?MatchCode=0393,2014-03-27
Matches/MatchScorecard_T20.asp?MatchCode=0386,2014-03-22
Matches/MatchScorecard_T20.asp?MatchCode=0361,2014-02-02
Matches/MatchScorecard_T20.asp?MatchCode=0360,2014-01-31
Matches/MatchScorecard_T20.asp?MatchCode=0359,2014-01-29
Matches/MatchScorecard_T20.asp?MatchCode=0305,2013-02-12
Matches/MatchScorecard_T20.asp?MatchCode=0304,2013-02-09
Matches/MatchScorecard_T20.asp?MatchCode=0333,2013-08-31
Matches/MatchScorecard_T20.asp?MatchCode=0332,2013-08-29
Matches/MatchScorecard_T20.asp?MatchCode=0307,2013-02-15
Matches/MatchScorecard_T20.asp?MatchCode=0265,2012-09-12
Matches/MatchScorecard_T20.asp?MatchCode=0263,2012-09-10
Matches/MatchScorecard_T20.asp?MatchCode=0282,2012-09-29
Matches/MatchScorecard_T20.asp?MatchCode=0279,2012-09-27
Matches/MatchScorecard_T20.asp?MatchCode=0275,2012-09-23
Matches/MatchScorecard_T20.asp?MatchCode=0271,2012-09-21
Matches/MatchScorecard_T20.asp?MatchCode=0261,2012-09-08
Matches/MatchScorecard_T20.asp?MatchCode=0248,2012-06-24
Matches/MatchScorecard_T20.asp?MatchCode=0231,2012-02-27
Matches/MatchScorecard_T20.asp?MatchCode=0230,2012-02-25
Matches/MatchScorecard_T20.asp?MatchCode=0228,2012-02-23
Matches/MatchScorecard_T20.asp?MatchCode=0287,2012-10-01
Matches/MatchScorecard_T20.asp?MatchCode=0206,2011-08-31
Matches/MatchScorecard_T20.asp?MatchCode=0203,2011-06-25
Matches/MatchScorecard_T20.asp?MatchCode=0173,2010-05-10
Matches/MatchScorecard_T20.asp?MatchCode=0169,2010-05-08
Matches/MatchScorecard_T20.asp?MatchCode=0189,2010-09-07
Matches/MatchScorecard_T20.asp?MatchCode=0164,2010-05-06
Matches/MatchScorecard_T20.asp?MatchCode=0178,2010-05-16
Matches/MatchScorecard_T20.asp?MatchCode=0176,2010-05-13
Matches/MatchScorecard_T20.asp?MatchCode=0188,2010-09-05
Matches/MatchScorecard_T20.asp?MatchCode=0161,2010-05-04
Matches/MatchScorecard_T20.asp?MatchCode=0159,2010-05-03
Matches/MatchScorecard_T20.asp?MatchCode=0146,2010-02-20
Matches/MatchScorecard_T20.asp?MatchCode=0145,2010-02-19
Matches/MatchScorecard_T20.asp?MatchCode=0104,2009-06-11
Matches/MatchScorecard_T20.asp?MatchCode=0120,2009-08-30
Matches/MatchScorecard_T20.asp?MatchCode=0096,2009-06-07
Matches/MatchScorecard_T20.asp?MatchCode=0112,2009-06-15
Matches/MatchScorecard_T20.asp?MatchCode=0110,2009-06-14
Matches/MatchScorecard_T20.asp?MatchCode=0091,2009-06-05
Matches/MatchScorecard_T20.asp?MatchCode=0087,2009-03-15
Matches/MatchScorecard_T20.asp?MatchCode=0054,2008-02-07
Matches/MatchScorecard_T20.asp?MatchCode=0056,2008-06-13
Matches/MatchScorecard_T20.asp?MatchCode=0053,2008-02-05
Matches/MatchScorecard_T20.asp?MatchCode=0040,2007-09-19
Matches/MatchScorecard_T20.asp?MatchCode=0036,2007-09-18
Matches/MatchScorecard_T20.asp?MatchCode=0034,2007-09-16
Matches/MatchScorecard_T20.asp?MatchCode=0028,2007-09-14
Matches/MatchScorecard_T20.asp?MatchCode=0025,2007-09-13
Matches/MatchScorecard_T20.asp?MatchCode=0016,2007-06-29
Matches/MatchScorecard_T20.asp?MatchCode=0015,2007-06-28
Matches/MatchScorecard_T20.asp?MatchCode=0008,2006-08-28
