match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0576,15,cKohlibKumar,86.67,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0575,27,lbwbJadeja,183.33,1,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0569,54,notout,215.00,3,4,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3775,10,cKohlibJadeja,100.00,0,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3680,4,st†DhonibJadeja,66.67,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3683,58,bYadav,200.00,6,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3678,1,cKohlibMohammedShami,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0388,9,cKohlibJadeja,140.00,0,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3276,0,cPathanbYuvrajSingh,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0550,18,notout,100.00,2,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0570,1,cStokesbWilley,33.33,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0368,2,cHalesbBresnan,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0367,28,notout,160.00,2,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0370,0,cMorganbBopara,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0279,12,notout,200.00,2,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0210,13,notout,150.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0209,7,runout,100.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0403,0,notout,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0565,7,runout,77.78,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3454,0,lbwbMahmudullah,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3353,26,bAaron,110.00,2,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3360,68,runout,126.19,5,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3359,36,st†PatelbRaina,120.83,1,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3357,48,notout,222.22,4,2,Middle Order
