match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4130,9,cRabadabNgidi,53.33,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4128,11,cPhehlukwayobDuminy,84.62,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4127,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4135,37,notout,68.00,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4133,8,runout,44.44,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4126,92,cImranTahirbPhehlukwayo,91.86,5,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4074,65,cFinchbRichardson,80.30,6,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4071,83,lbwbCummins,92.11,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4069,66,runout,85.94,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4067,5,c†WadebCoulter-Nile,33.33,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4053,82,cBishoobCummins,64.29,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4052,121,bCummins,99.04,10,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4051,74,cHolderbJoseph,79.49,8,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4057,44,lbwbBishoo,76.47,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4065,5,cMunaweerabMalinga,29.41,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4056,71,c†SDHopebBishoo,65.93,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3978,1,bWilley,16.67,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4076,72,lbwbCoulter-Nile,82.43,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3874,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3955,23,cLathambNeesham,51.28,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3954,68,lbwbNeesham,81.43,5,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3953,6,cSantnerbHenry,50.00,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3952,31,cAndersonbSouthee,57.14,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3951,41,c†RonchibNeesham,97.06,4,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3877,2,cSmithbRichardson,66.67,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3876,60,cMaxwellbHastings,90.91,4,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3875,101,cSmithbFaulkner,111.25,6,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3841,69,cMillerbBehardien,73.17,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3851,106,cBehardienbSteyn,150.00,9,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3848,49,c†deKockbSteyn,84.91,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3845,4,cMillerbMorkel,57.14,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3844,61,bImranTahir,80.95,6,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3781,39,notout,117.86,6,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3808,10,cNasirHossainbMustafizurRahman,36.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3775,16,c†RamdinbRoach,41.18,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3795,46,c†HaddinbStarc,64.71,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3791,20,cShakibAlHasanbTaskinAhmed,51.35,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3786,22,runout,79.17,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3768,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3760,96,lbwbSteyn,131.67,7,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3751,0,bSohailKhan,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3744,82,c†ButtlerbFinn,72.28,3,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3741,30,notout,56.00,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3735,36,cTaylorbFinn,82.50,1,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3731,14,c†HaddinbSandhu,54.55,2,0,Top Order
