match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3955,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3954,15,runout,82.35,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3953,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3952,1,csubbGuptill,33.33,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3951,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3841,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3851,5,lbwbRabada,66.67,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3848,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3845,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3680,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3678,6,lbwbBravo,38.46,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3568,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3072,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3071,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3031,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3028,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=3644,4,lbwbTaskinAhmed,25.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3643,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3628,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3624,1,notout,100.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3541,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3539,10,runout,128.57,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3537,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3544,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3545,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3113,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3111,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3116,0,cCoventrybCremer,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3296,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3298,0,bRussell,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3297,5,notout,35.71,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3295,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3294,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2096,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2092,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2090,-,dnb,-,-,-,Tail
