match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4310,38,st†DhonibChahal,55.74,2,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4130,30,notout,460.00,1,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4128,3,cKohlibKuldeepYadav,37.50,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4135,40,c&amp;bThakur,80.95,2,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4133,0,bKuldeepYadav,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4126,30,notout,81.82,1,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4042,4,lbwbBumrah,36.36,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4029,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4028,5,bRashid,66.67,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4328,0,cWilliamsonbFerguson,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4002,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3997,1,notout,100.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3995,33,notout,85.29,4,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3992,35,notout,126.09,2,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4421,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4419,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4415,0,runout,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4238,84,notout,86.25,7,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4237,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4188,3,c†DickwellabDananjaya,21.43,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4206,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4187,11,bNLTCPerera,90.00,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4208,0,c†TaylorbChatara,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4222,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4207,31,c†TaylorbChatara,63.64,1,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4351,5,notout,133.33,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4086,6,c†MushfiqurRahimbTaskinAhmed,125.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4083,0,notout,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4080,-,dnb,-,-,-,Middle Order
