match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4009,5,bMohammadNabi,62.50,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4259,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=3829,7,cCumminsbCoulter-Nile,77.78,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3915,13,lbwbRashidKhan,57.14,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3902,94,cMendisbMathews,123.44,7,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3675,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3674,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4150,6,cHolderbWilliams,50.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4397,29,notout,113.64,2,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4394,8,lbwbCottrell,34.78,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4391,4,cPaulbWalsh,33.33,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4267,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4265,1,c&amp;bRashidKhan,14.29,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4262,9,notout,60.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4107,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3921,16,notout,66.67,0,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3918,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3917,1,st†MohammadShahzadbRashidKhan,16.67,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3916,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4301,1,runout,16.67,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4299,3,cHashmatullahShahidibDawlatZadran,42.86,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4192,17,cAftabAlambMohammadNabi,32.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4190,1,lbwbRashidKhan,20.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4189,12,csubbMohammadNabi,75.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4163,12,notout,122.22,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4352,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4347,4,lbwbSikandarRaza,66.67,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4343,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4152,8,notout,300.00,0,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4143,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4158,5,notout,62.50,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4156,9,notout,60.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4111,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4003,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4010,13,cDawlatZadranbFareedAhmad,66.67,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4008,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4007,7,st†MohammadShahzadbRashidKhan,54.55,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4000,0,lbwbZahoorKhan,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3840,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3842,15,notout,66.67,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3839,27,notout,164.29,2,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3777,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3771,2,notout,50.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3752,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3733,-,dnb,-,-,-,
