match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4332,8,bChahal,42.11,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4203,0,bKuldeepYadav,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4009,40,cBalbirniebMcBrine,63.64,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3722,9,c†WilsonbBalbirnie,50.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3778,11,cGuptillbBoult,50.00,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3773,4,cSmithbJohnson,40.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3730,45,c†WilsonbMooney,53.66,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3725,2,c†CrossbDavey,12.50,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3707,1,runout,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3705,55,bKrishnaChandran,139.39,1,4,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3649,9,c†ChakabvabChatara,25.00,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3628,5,cMishrabJadeja,71.43,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3871,2,cChibhabhabMadziva,13.33,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3623,106,notout,87.38,6,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3561,9,bNgoche,34.62,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3437,76,cClarkebStarc,62.26,6,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3421,0,bCusack,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3407,8,notout,77.78,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3406,27,c†BarresibSeelaar,60.98,2,0,Middle Order
