match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4342,95,csubbBumrah,146.30,6,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4171,56,cKaulbKuldeepYadav,48.54,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4175,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4173,5,c†DhonibPandya,62.50,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3978,69,notout,146.15,4,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3976,1,bAshwin,33.33,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3974,78,cYadavbBumrah,155.00,2,5,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3667,2,cRainabAshwin,28.57,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3664,26,cRahanebJadeja,79.31,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3672,40,notout,143.48,3,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3327,8,c&amp;bAshwin,63.64,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3325,22,bAshwin,64.52,0,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3323,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3322,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4256,12,cHetmeyerbBrathwaite,110.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4260,17,c†HopebBrathwaite,55.56,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4215,83,cPererabDananjaya,111.67,12,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4212,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4149,31,notout,144.44,1,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4041,123,notout,93.58,13,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4072,88,cLewisbPowell,115.87,5,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4070,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4068,28,notout,230.00,1,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4005,40,cBrathwaitebHolder,170.00,4,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4045,34,cMohammadHafeezbHasanAli,53.13,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4036,56,cMilnebBoult,90.57,4,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4029,122,cMillerbMaharaj,127.85,11,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4028,27,cMillerbRabada,83.33,0,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4031,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3890,2,cAmlabImranTahir,100.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3889,66,cBehardienbAbbott,143.24,5,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3928,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3926,50,bHasanAli,140.00,6,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3925,16,notout,75.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3887,0,bMorkel,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3932,90,cUmarGulbHasanAli,98.68,5,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3885,71,bMorris,150.00,4,3,Middle Order
