match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3278,12,c&amp;bKhan,54.55,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3193,111,notout,181.63,6,6,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3045,0,c†DhonibRaina,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3042,26,cRainabHarbhajanSingh,54.76,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3040,60,cRainabNehra,75.00,3,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3028,39,notout,116.67,2,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3052,25,lbwbRaina,52.08,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3050,73,cTendulkarbKumar,172.73,2,5,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3046,71,runout,87.32,3,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4123,3,lbwbCurran,42.86,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4117,20,c†ButtlerbWood,68.00,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4115,15,notout,71.43,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3242,25,notout,78.57,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3103,61,notout,87.72,5,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3101,28,notout,69.44,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3105,7,cVettoribSouthee,28.57,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3096,36,bTuffey,67.35,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2941,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2939,11,cVettoribO'Brien,62.50,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2938,17,notout,121.43,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3034,75,bMills,60.78,7,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2942,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2608,1,notout,100.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2634,17,cStyrisbGillespie,162.50,0,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2633,51,notout,221.05,3,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2631,13,c&amp;bBond,72.22,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2595,23,notout,166.67,1,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2586,5,cFultonbGillespie,33.33,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2580,53,cMcMillanbBond,140.63,2,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3738,0,lbwbFinn,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3284,21,cImrulKayesbSuhrawadiShuvo,40.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3024,4,bMiller,25.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3254,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=3274,8,runout,44.44,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3269,5,notout,133.33,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3265,2,bKamande,33.33,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3238,22,bMpofu,61.11,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3229,23,cMorganbFinn,95.24,1,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3226,20,c†PriorbWoakes,100.00,2,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3224,46,cYardybTrott,68.75,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3221,7,lbwbCollingwood,30.43,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3218,48,c&amp;bYardy,59.21,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3216,27,notout,108.70,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3202,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3134,18,cAndersonbBroad,106.25,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3133,14,cStraussbSwann,52.17,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3131,101,notout,87.76,7,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3200,35,bKulasekara,81.40,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3199,0,bPerera,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3141,22,cYardybSwann,64.52,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3090,23,c†RamdinbRampaul,66.67,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3124,46,cPorterfieldbStirling,77.78,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2831,43,notout,102.56,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2825,9,lbwbSarwan,100.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3082,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3080,23,c†RamdinbRoach,62.86,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3076,31,c†KamranAkmalbNaved-ul-Hasan,90.32,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3075,65,cMohammadYousufbMohammadAmir,94.83,4,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3030,5,bMohammadAsif,31.25,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3078,16,bShahidAfridi,65.00,1,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3233,25,c&amp;bYardy,51.06,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3015,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3018,42,cDenlybAnderson,152.17,5,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3017,28,notout,160.00,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3012,120,cSidebottombWright,84.68,9,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3010,47,c†PriorbBopara,63.64,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3009,64,runout,74.65,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3032,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2926,33,c†deVilliersbSteyn,55.56,1,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2918,1,cBothabSteyn,20.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2917,23,bBotha,87.50,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3099,65,cMcCullumbFranklin,90.00,1,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3084,18,c†RamdinbPollard,41.46,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3129,11,bAnderson,52.63,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3085,71,cSammybMiller,80.77,2,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3019,1,bSwann,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3006,21,cGoudiebWatson,63.33,0,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2879,25,notout,91.67,1,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2604,13,c†NixonbFlintoff,65.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2593,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3077,49,cMohammadAsifbSaeedAjmal,69.84,3,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3074,125,bNaved-ul-Hasan,119.32,8,4,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2584,6,lbwbAnderson,55.56,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2875,9,bShahadatHossain,81.82,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2877,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2579,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2402,0,cVettoribMartin,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2382,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2381,-,dnb,-,-,-,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=2380,-,dnb,-,-,-,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=2400,-,dnb,-,-,-,Top Order
