match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4324,75,cChahalbKuldeepYadav,82.67,7,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4201,34,lbwbKuldeepYadav,70.45,1,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4197,0,cChahalbKumar,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4050,136,cJadejabPandya,107.55,12,3,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4045,70,st†ButtlerbRashid,98.28,7,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4337,11,cGuptillbBoult,90.00,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4103,99,notout,95.35,5,4,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4114,14,cWilliamsonbHenry,70.59,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4110,65,bSantner,72.00,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4105,2,bBoult,28.57,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4238,29,cMillerbOlivier,59.09,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4237,30,cPretoriusbOlivier,108.70,3,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4227,77,cHenrybdeGrandhomme,84.42,8,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4225,103,cSodhibFerguson,100.00,11,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4223,1,bBoult,20.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4319,0,cRichardsonbCummins,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4244,51,cvanderDussenbImranTahir,100.00,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4241,2,cRabadabBEHendricks,20.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4287,3,cRootbArcher,27.27,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4300,0,cRootbWoakes,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4297,70,cWoodbCurran,114.00,5,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4304,26,bRussell,137.50,2,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4292,162,c†ButtlerbWoakes,130.19,12,4,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4294,2,cRootbWoakes,50.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4340,0,lbwbMujeebUrRahman,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4200,0,lbwbMujeebUrRahman,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4375,66,cUdanabdeSilva,83.08,6,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4334,52,cAmlabImranTahir,88.00,6,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4349,14,cMehidyHasanMirazbMohammadSaifuddin,41.94,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4308,42,st†ButtlerbAli,90.00,6,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4376,89,cShanakabPradeep,83.52,7,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4247,84,cImranTahirbPhehlukwayo,95.89,10,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4204,1,cRubelHossainbMehidyHasanMiraz,25.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4194,28,c†McKechniebEhsanKhan,88.89,2,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4178,101,c†MurraybRoche,102.41,10,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4177,248,notout,134.62,24,5,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4176,51,notout,179.17,8,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4174,137,notout,90.70,16,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4172,71,c&amp;bRoche,85.71,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4087,55,c†DickwellabVandersay,102.13,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4084,19,st†DickwellabDananjaya,56.67,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4082,33,st†DickwellabVandersay,72.50,2,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4081,13,cMendisbGamage,84.62,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4079,49,bDananjaya,95.56,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4037,37,cAmlabMorkel,134.78,6,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4044,64,cGunaratnebPradeep,138.89,8,1,Top Order
