match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4385,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4397,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4394,50,notout,68.66,4,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4391,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4379,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4378,5,cRashidKhanbNaveen-ul-Haq,200.00,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4377,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4282,31,cBaubVala,77.14,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4413,24,notout,250.00,2,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4417,2,runout,66.67,0,0,Middle Order
