match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4332,11,bMohammedShami,41.67,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4315,41,cMunrobNeesham,121.43,5,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4259,86,cBalbirniebMcBrine,155.81,5,5,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4306,0,c†CareybCummins,0.0,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4323,25,cvanderDussenbRabada,95.65,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4379,65,cLewisbPaul,84.75,7,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4378,28,cCottrellbChase,76.67,1,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4377,10,bCottrell,42.86,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4265,17,bMcBrine,87.5,1,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4262,41,runout,103.03,3,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4257,30,cO'BrienbMcCarthy,59.52,3,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4299,16,bAdair,35.0,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4309,35,cNLTCPererabPradeep,120.0,3,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4190,1,bMurtagh,50.0,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4189,17,cSimiSinghbRankin,155.56,1,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4290,18,cCoetzerbWheal,116.67,2,1,Top Order
