match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3978,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3976,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3974,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4170,1,notout,10.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4125,0,bTye,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4041,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4021,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4045,2,notout,40.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4036,0,cBoultbSouthee,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4030,8,bMaharaj,77.78,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4029,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4020,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4031,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4075,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4073,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3949,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3948,33,cNasirHossainbMashrafeMortaza,127.27,5,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3946,-,dnb,-,-,-,Tail
