match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3878,2,notout,66.67,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3877,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3876,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3875,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3193,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3834,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3833,41,notout,130.77,3,2,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4032,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3886,55,notout,102.13,5,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3884,10,cGuptillbSantner,88.89,2,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3888,6,cElliottbAnderson,31.58,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3937,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3285,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3284,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3286,26,notout,233.33,3,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3940,65,cBehardienbPhehlukwayo,91.07,6,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3947,5,lbwbShamsi,133.33,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3945,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3942,28,cMillerbPhehlukwayo,121.05,1,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3229,8,notout,175.00,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3226,15,cCollingwoodbWoakes,118.18,2,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3224,1,cStraussbAnderson,33.33,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3221,19,notout,58.06,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3199,17,bPerera,106.67,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3929,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3927,5,notout,71.43,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3931,10,notout,133.33,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3233,7,cWrightbAnderson,150.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3320,0,lbwbMalinga,0.00,0,0,Tail
