match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3874,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3795,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3741,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=4125,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4123,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4117,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4041,1,notout,20.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3773,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4423,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3988,5,bBoult,80.00,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4032,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3984,0,runout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3968,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3967,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3886,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3966,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3884,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4421,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4415,1,bNortje,25.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4226,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4224,11,notout,76.92,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4222,7,notout,85.71,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4400,1,notout,50.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3796,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4035,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3981,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3977,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3975,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3973,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3888,6,notout,100.00,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3894,13,notout,100.00,2,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3909,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3905,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3903,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=3893,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3792,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3749,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3746,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3700,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3695,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3694,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3898,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3896,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3923,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3697,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3927,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3557,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=3129,-,dnb,-,-,-,Tail
