match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3871,5,cChisorobChibhabha,35.71,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3623,14,c&amp;bArafatSunny,33.33,0,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3561,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3372,46,c†UmarAkmalbShahidAfridi,85.11,2,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3437,20,bStarc,94.44,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3421,1,bJohnston,11.11,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3407,124,bBorren,135.14,12,4,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3406,11,c†BarresibBorren,55.56,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3310,40,lbwbDesai,147.83,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3309,1,cSurkaribPatel,11.11,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3187,19,cKamandebOdhiambo,68.00,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3153,25,notout,75.00,2,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3185,8,cCOObuyabOdoyo,70.00,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3149,2,cWattsbGoudie,25.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3166,0,c†LockhartbDrummond,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3164,135,notout,105.56,11,3,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3183,23,runout,67.86,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3147,28,cJonkmanbCooper,37.68,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3142,0,runout,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3138,30,cCusackbWhite,96.15,3,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3089,5,bBaidwan,50.00,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3087,0,cRizwanCheemabKhurramChohan,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3135,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2964,25,lbwbStander,90.91,1,2,Top Order
