match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4234,3,cKhawajabSiddle,50.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4316,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4266,11,cFinchbCummins,62.50,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4342,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4338,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4332,1,notout,100.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4324,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4350,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4310,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4263,3,bCummins,100.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4258,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4242,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4239,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4235,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4171,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4220,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4219,16,notout,71.43,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4216,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4130,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4205,5,notout,100.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4203,9,runout,81.82,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4201,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4199,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4197,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4196,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4175,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4173,8,notout,30.77,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4128,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4127,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4135,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4133,2,notout,50.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4221,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4126,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4099,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4085,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4096,23,st†DickwellabDananjaya,76.00,4,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4071,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4069,0,c†WadebCummins,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4067,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4064,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4053,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4052,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4051,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4057,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4065,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4056,2,notout,33.33,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4076,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4402,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4248,16,cdeGrandhommebAstle,45.45,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4245,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4400,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4399,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4398,19,runout,113.33,2,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4388,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4387,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4385,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4360,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4359,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=4270,9,bStoinis,66.67,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4268,1,notout,100.00,0,0,Tail
