match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3901,7,bShanaka,100.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3676,11,c&amp;bHaq,100.00,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3675,16,notout,66.67,2,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3674,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3771,27,c†deKockbMorkel,115.79,3,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3763,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3752,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3733,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=3635,18,lbwbKulasekara,48.57,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3617,1,bHolder,33.33,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3556,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3554,34,st†MurphybMachan,70.45,3,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3551,29,notout,141.18,1,2,Tail
