match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3751,1,notout,20.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3514,0,runout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3457,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3456,0,bSharma,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3455,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3930,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3863,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3861,0,bWoakes,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3859,0,bTopley,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3858,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3720,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3681,0,cFaulknerbMaxwell,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3679,0,runout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3677,12,runout,150.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3883,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3879,0,bBoult,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3747,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3745,1,notout,12.50,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3719,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3717,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3715,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3713,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3838,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3837,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3836,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3577,0,cAmlabParnell,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3569,2,bMorkel,22.22,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3509,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3550,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3549,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3546,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3574,5,notout,66.67,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3497,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3571,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3499,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3814,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3822,5,notout,57.14,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3821,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3820,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3819,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3776,1,notout,33.33,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3772,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3757,2,notout,18.18,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3770,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3666,6,bHerath,55.56,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3662,1,notout,20.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3658,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3575,2,notout,66.67,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3538,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3535,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3533,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3532,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3531,5,notout,400.00,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3506,2,cDJJBravobRampaul,14.29,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3491,5,notout,66.67,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3489,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3488,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3487,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3175,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3174,3,notout,60.00,0,0,Tail
