match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4332,62,cPandyabMohammedShami,94.55,4,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4203,79,cKuldeepYadavbAhmed,114.29,3,4,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3785,19,cTredwellbBopara,94.12,1,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4009,44,cThompsonbO'Brien,64.06,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3722,2,c&amp;bDockrell,22.22,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3778,6,cTaylorbVettori,40.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3721,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3773,2,cClarkebMaxwell,20.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3730,9,cCusackbYoung,42.86,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3725,0,lbwbWardlaw,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3707,17,cKhurramKhanbMohammadShahzad,100.00,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3705,31,cMohammadTauqirbAmjadJaved,93.33,1,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3652,42,cChigumburabMasakadza,119.35,1,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3651,47,runout,105.00,1,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3650,26,cSWMasakadzabPanyangara,59.46,2,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3649,67,cSikandarRazabUtseya,163.64,3,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3633,95,cAmjadAlibMohammadNaveed,135.09,8,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3632,17,notout,82.35,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4315,9,c†LathambNeesham,37.50,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3628,6,c†KarthikbJadeja,30.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3871,12,bCremer,57.89,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3623,7,cNasirHossainbMominulHaque,46.67,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3561,53,notout,109.52,3,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3372,41,runout,66.07,0,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3437,57,bJohnson,76.67,3,4,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3421,2,lbwbCusack,11.76,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3407,3,lbwbBorren,100.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3406,45,cKervezeebCooper,65.08,2,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3310,56,cGordonbRizwanCheema,151.61,1,4,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3309,69,c†HamzaTariqbRizwanCheema,98.31,3,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3187,73,c†OumabOtieno,86.96,3,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3153,6,notout,46.15,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3185,29,notout,127.78,4,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3149,4,lbwbIqbal,26.67,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3166,2,cDrummondbDavey,25.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3164,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3183,0,bOdoyo,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3147,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3142,54,cPatelbKamande,111.90,3,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3138,26,cJonesbO'Brien,92.00,1,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3089,79,cRizwanCheemabBhatti,108.77,3,5,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3087,9,cRizwanCheemabBaidwan,160.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3135,17,notout,125.00,0,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2964,71,cHamiltonbIqbal,90.63,3,3,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4348,2,cAllenbRoach,33.33,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4259,28,cPorterfieldbSimiSingh,120.00,0,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4306,7,runout,31.82,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3938,56,lbwbMashrafeMortaza,80.33,3,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3936,33,cSabbirRahmanbTaskinAhmed,125.00,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3941,3,c&amp;bMosharrafHossain,30.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3754,49,cSoumyaSarkarbMashrafeMortaza,102.33,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4323,1,bPhehlukwayo,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3915,5,lbwbO'Brien,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4202,44,cNajmulHossainShantobShakibAlHasan,135.71,2,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4326,11,cStokesbRashid,128.57,0,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4164,33,notout,225.00,0,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4154,33,cHetmeyerbHolder,57.41,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4043,13,cChasebJoseph,54.17,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4040,29,notout,90.00,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4046,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=4379,59,notout,75.76,3,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4378,37,lbwbWalsh,84.21,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4377,1,cCottrellbHolder,7.14,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4267,43,c†PoynterbSimiSingh,57.14,1,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4265,74,cDockrellbCameron-Dow,75.29,6,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4262,2,c†PoynterbRankin,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4257,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4097,1,cKJO'BrienbDockrell,20.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4093,32,bChase,111.54,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4092,0,runout,0.00,0,0,Middle Order
