match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4203,153,cKarthikbJadhav,106.9,11,7,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4009,1,lbwbO'Brien,50.0,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3628,26,lbwbAshwin,78.57,2,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3871,50,lbwbChibhabha,62.5,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3623,2,lbwbRubelHossain,25.0,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3561,1,cGondariabAga,11.11,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3372,25,cAsadShafiqbShahidAfridi,117.65,3,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3437,12,c†WadebPattinson,91.67,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3421,13,cPorterfieldbJohnston,64.71,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3407,43,cSeelaarbvanderGugten,64.91,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3406,14,bSwart,120.0,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3310,9,cPatelbBaidwan,80.0,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3309,1,cHansrabRizwanCheema,11.11,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3153,94,cLootsbBorren,75.93,8,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3185,44,cKamandebNgoche,80.43,5,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3149,40,runout,77.27,4,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3166,13,bParker,100.0,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3164,119,notout,138.89,15,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3183,1,cOtienobOdhiambo,25.0,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3147,67,cZuiderentbCooper,87.3,8,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3142,24,lbwbNMOdhiambo,90.91,2,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3138,2,cPoynterbCusack,50.0,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3089,0,cBhattibKhurramChohan,0.0,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3087,137,cPatelbKhurramChohan,97.52,11,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3135,69,bPatel,100.0,6,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4306,0,bStarc,0.0,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3938,43,cTaskinAhmedbShakibAlHasan,100.0,4,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3936,37,c†MushfiqurRahimbMashrafeMortaza,147.62,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3941,0,bMashrafeMortaza,0.0,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3915,80,cDockrellbO'Brien,83.54,8,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4202,65,bMahmudullah,65.43,8,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4164,103,cHolderbGayle,90.32,11,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4154,9,cPowellbHolder,66.67,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4267,8,cCameron-DowbMurtagh,150.0,0,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4262,6,lbwbMurtagh,33.33,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4257,49,cMurtaghbRankin,81.13,6,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3918,8,cChasebMcCarthy,116.67,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3917,23,cTerrybStirling,62.86,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3916,95,cWilsonbChase,85.26,10,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4301,121,cO'BrienbMcBrine,114.77,16,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4299,2,lbwbMurtagh,14.29,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4309,8,cKarunaratnebMalinga,58.33,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4131,18,cMuzarabanibVitori,75.0,1,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4200,22,c†SarfarazAhmedbMohammadNawaz,64.52,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4198,41,cAbuHiderbShakibAlHasan,78.72,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4195,40,lbwbDananjaya,72.34,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4129,42,cVitoribCremer,90.0,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4192,1,cMurtaghbRankin,50.0,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4190,0,lbwbMurtagh,0.0,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4145,27,cWallerbChatara,64.86,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4140,34,cMunseybBerrington,55.56,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4163,68,cRankinbSimiSingh,108.0,6,2,Top Order
