match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3045,12,bJadeja,70.59,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3046,6,st†DhonibHarbhajanSingh,46.15,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4041,20,cPlunkettbRashid,89.47,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4032,22,c&amp;bMilne,128.57,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4035,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3738,4,runout,36.36,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3467,9,notout,100.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3924,4,st†ChandimalbPrasanna,25.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3923,6,csubbSandakan,85.71,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3465,3,lbwbHerath,27.27,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3462,2,bKulasekara,100.00,0,0,Middle Order
