match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3327,32,cBoparabBroad,84.38,3,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3343,8,bFinn,40.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3341,41,lbwbBresnan,82.61,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3337,14,cCookbBresnan,70.59,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3335,10,runout,90.00,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3331,19,cBresnanbSwann,48.72,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3325,3,bAnderson,15.79,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3323,35,c†KieswetterbAnderson,155.56,3,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3322,111,c†KieswetterbAnderson,88.79,12,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3222,44,cduPlessisbMorkel,111.76,6,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3219,13,lbwbTsotsobe,45.83,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3382,4,cMalingabPerera,57.14,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3353,14,cMartinbRoach,92.31,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3360,0,bRoach,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3359,3,notout,100.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3357,46,bSamuels,111.43,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3355,2,cSammybRoach,33.33,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3212,68,notout,80.00,6,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3210,65,csubbNLMcCullum,92.98,8,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3296,52,cRussellbBishoo,82.14,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3298,6,cMartinbRussell,54.55,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3297,29,c&amp;bSammy,81.25,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3295,66,c†BaughbMartin,87.50,2,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3294,15,runout,86.67,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=2096,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2092,30,lbwbAlokKapali,52.94,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=2090,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2248,14,notout,130.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2243,6,c†SangakkarabZoysa,37.50,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=2177,0,c†TaibubStreak,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=2176,32,c†GilchristbGillespie,215.38,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=2175,22,bStreak,65.52,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=2089,4,c&amp;bSanwarHossain,36.36,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2141,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2140,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2094,7,runout,100.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2015,14,bMills,41.94,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2143,16,cClarkebHogg,51.61,0,0,Middle Order
