match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4310,23,bChahal,59.46,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4328,79,notout,104.69,2,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4238,93,notout,65.04,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4237,109,cShoaibMalikbHasanAli,92.08,6,3,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4351,111,cMaxwellbCummins,97.94,4,4,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4408,6,bAli,62.50,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4405,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4401,41,notout,84.44,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4317,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4323,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4244,19,c†MohammadRizwanbUsmanShinwari,58.06,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4241,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4334,39,cMohammadHafeezbShadabKhan,76.60,1,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4247,60,notout,81.97,0,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4269,57,lbwbPHKDMendis,74.63,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4339,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4264,2,cRajithabNLTCPerera,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4303,60,cAlibArcher,81.97,4,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4272,30,notout,75.68,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4307,45,bMohammadSaifuddin,107.89,2,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4261,34,notout,74.42,2,0,Middle Order
