match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4353,83,runout,82.22,3,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4249,1,lbwbPandya,25.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4242,24,st†DhonibJadhav,88.00,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4239,27,c&amp;bChahal,58.54,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4089,42,cJadhavbBumrah,82.98,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4088,23,c†DhonibPandya,63.64,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4085,107,cChahalbKumar,95.00,8,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3955,20,c†DhonibMishra,59.38,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3954,36,runout,60.34,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3953,50,st†DhonibMishra,77.19,4,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3952,23,cSharmabMishra,50.00,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3951,0,c†DhonibYadav,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3612,118,cDhawanbMohammedShami,96.23,10,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3609,131,notout,88.19,15,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3607,19,runout,94.44,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3603,68,c†DhonibMohammedShami,101.79,7,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3601,60,c†DhonibMohammedShami,67.07,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3161,109,lbwbNehra,84.07,8,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3170,10,c†DhonibKumar,57.14,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3013,13,c†DhonibRPSingh,73.33,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2946,5,cSharmabPathan,38.46,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=2945,8,runout,116.67,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=2944,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=2947,34,notout,84.85,4,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2943,34,cTendulkarbPathan,129.17,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4036,42,cRootbBall,66.10,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3805,141,notout,123.96,10,4,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3804,68,lbwbFinn,105.56,5,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3809,49,c†BairstowbWilley,74.60,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3807,45,lbwbFinn,76.36,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3806,126,bWilley,89.43,12,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3720,99,notout,92.63,5,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3778,26,notout,58.54,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4410,13,cKohlibJadeja,66.67,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4402,131,notout,129.76,10,4,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4423,4,cStarcbMarsh,66.67,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4315,56,bAftabAlam,92.31,6,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4355,15,lbwbWood,48.39,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4341,32,c†CareybCummins,55.56,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4337,3,c†SarfarazAhmedbShaheenShahAfridi,37.50,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4333,80,cHolderbGayle,72.63,7,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4328,1,c†deKockbMorris,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4311,95,c†MushfiqurRahimbMosaddeckHossain,90.11,9,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4346,30,runout,66.67,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4252,80,cMahmudullahbRubelHossain,84.15,7,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4250,51,notout,91.84,6,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4248,45,notout,148.00,2,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4245,106,c†KarthikbMohammedShami,87.74,9,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4305,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4104,49,notout,104.65,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4146,214,notout,123.13,17,6,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4103,12,bHasanAli,85.71,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4138,10,runout,38.46,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4137,129,st†ButtlerbRashid,97.41,12,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4114,66,bFaheemAshraf,80.82,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4110,1,lbwbRummanRaees,25.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4105,60,lbwbShadabKhan,81.25,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4102,53,notout,87.04,6,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4039,73,cMustafizurRahmanbTaskinAhmed,76.83,6,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4027,70,notout,107.14,6,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4026,67,cSimiSinghbMcCarthy,89.06,6,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4024,26,lbwbMustafizurRahman,62.50,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4023,61,cPorterfieldbKJO'Brien,86.67,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3988,124,cStoinisbFaulkner,105.94,13,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4002,9,lbwbPhehlukwayo,66.67,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3997,20,lbwbPretorius,45.00,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3995,114,notout,92.73,8,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3992,1,c&amp;bMorris,33.33,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4032,52,cHenriquesbHastings,79.31,6,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3984,17,bHead,66.67,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3999,79,cAmlabImranTahir,68.04,7,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3872,71,cSiriwardanabKulasekara,91.04,4,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3870,23,notout,142.86,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3868,0,cMathewsbVandersay,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3866,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3865,5,notout,55.56,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4406,87,notout,98.65,6,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3208,4,c†SahabKhan,25.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4233,158,cdeSilvabMalinga,104.58,9,4,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4232,100,runout,85.71,4,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4231,68,cPrasannabNLTCPerera,145.95,6,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4251,24,notout,105.00,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4227,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4225,95,notout,71.67,3,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4223,89,bImadWasim,71.43,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4101,66,c†SDHopebHolder,86.36,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4100,51,notout,64.47,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3824,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3796,42,c†HaddinbFaulkner,55.56,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3794,34,c†deKockbDuminy,76.92,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3793,44,runout,68.85,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3784,65,lbwbNasirHossain,57.73,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3747,123,notout,145.71,13,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3767,1,bStarc,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3756,6,notout,100.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3753,10,cTaylorbHaq,64.29,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3748,14,st†SangakkarabMendis,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3823,128,notout,91.80,6,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3745,67,notout,72.84,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3743,12,bChameera,50.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3739,111,lbwbDilshan,94.12,7,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3737,23,cKarunaratnebThirimanne,86.96,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3734,8,c†SangakkarabHerath,34.78,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3729,3,lbwbMathews,37.50,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3726,36,cPererabHerath,49.28,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3719,28,c†SarfarazAhmedbMohammadIrfan,70.27,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3717,38,bShahidAfridi,124.00,1,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3715,2,c†SarfarazAhmedbHarisSohail,66.67,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3713,120,notout,77.78,9,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3598,9,c†RamdinbMiller,60.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3597,54,runout,111.36,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3596,10,cPowellbMiller,112.50,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3593,3,runout,30.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3511,9,notout,39.13,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3570,49,cMahmudullahbSohagGazi,54.88,2,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3567,10,c†MushfiqurRahimbRubelHossain,57.14,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3508,0,lbwbHerath,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3515,3,lbwbBresnan,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3501,67,c†ButtlerbAnderson,70.13,9,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3504,83,cBresnanbTredwell,84.52,2,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3573,126,notout,115.05,9,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3479,30,c†ButtlerbBroad,53.85,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3477,115,c†ButtlerbAnderson,85.47,9,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3476,25,cFinnbWoakes,57.89,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3503,71,cWoakesbAnderson,111.11,3,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3449,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=3448,6,c†SangakkarabPerera,35.29,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3430,31,st†ThomasbSamuels,73.68,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3429,130,cSammybBest,95.65,6,5,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3447,8,runout,43.75,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3446,87,cMathewsbKulasekara,116.13,7,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3345,138,bNcube,94.44,9,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3342,12,c†MutizwabUtseya,73.33,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3340,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3258,157,notout,105.65,8,7,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3232,5,c†KamranAkmalbAbdulRazzaq,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3252,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3281,37,cTharangabMendis,65.45,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3279,46,cKallisbImranTahir,59.72,1,1,Middle Order
