match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3785,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3778,2,notout,50.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3773,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3705,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3651,5,notout,62.50,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3650,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3649,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3633,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3632,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3628,1,lbwbAshwin,7.69,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3623,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3561,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3372,2,notout,66.67,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3437,1,notout,25.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3421,0,bDockrell,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3187,22,lbwbTikolo,85.00,1,2,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3185,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3149,0,bLyons,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3166,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3164,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3183,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3142,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3138,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3089,0,lbwbBhatti,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3087,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3135,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3754,2,notout,100.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3915,2,notout,33.33,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4267,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4097,0,cPoynterbDockrell,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4147,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4145,8,c†TaylorbVitori,26.92,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4136,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3620,1,cSaeedAjmalbMohammadHafeez,14.29,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3913,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3843,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3764,14,notout,120.00,2,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3759,1,notout,100.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3711,7,cKrishnaChandranbMohammadNaveed,54.55,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3626,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3709,9,notout,233.33,0,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3560,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3007,1,cKervezeebtenDoeschate,14.29,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3008,-,dnb,-,-,-,Tail
