match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3583,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3581,0,csubbMohammedShami,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3580,0,c&amp;bAshwin,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3510,2,cKarthikbJadeja,25.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3521,5,cDhawanbRaina,41.67,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3481,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3454,7,notout,87.50,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3453,15,cMominulHaquebAbdurRazzak,162.50,2,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3452,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3525,25,cISharmabJadeja,63.64,0,2,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3360,9,bRSharma,53.33,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3359,32,notout,81.82,3,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3357,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3598,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3597,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3596,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3593,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3430,6,cMcCullumbMills,66.67,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3429,6,notout,85.71,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3909,27,cSmithbHazlewood,127.78,4,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3905,1,notout,50.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3893,6,st†WadebZampa,62.50,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3474,26,c†WadebMcKay,104.55,3,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3473,1,bFaulkner,33.33,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3472,32,st†WadebMaxwell,400.00,0,4,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3471,0,c†WadebMcKay,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3939,29,cImadWasimbHasanAli,143.75,2,2,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3907,1,runout,25.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3900,21,notout,138.46,3,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3898,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3892,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3943,1,notout,20.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3855,10,cChandimalbMathews,64.29,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3853,0,runout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3852,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3944,0,st†SarfarazAhmedbMohammadNawaz,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3427,12,runout,83.33,2,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3424,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3422,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3538,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3535,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3533,18,bSaeedAjmal,280.00,2,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3532,1,notout,100.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3531,16,cNasirJamshedbShahidAfridi,45.16,2,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3661,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3657,9,notout,175.00,0,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3655,3,notout,60.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3475,0,bJohnson,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3506,13,c†KamranAkmalbMohammadIrfan,137.50,2,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3520,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3480,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3478,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3450,39,lbwbSohagGazi,80.00,3,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3405,8,c†WadebMcKay,70.00,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3404,-,dnb,-,-,-,Tail
