match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3193,10,cVinayKumarbNehra,37.50,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3042,9,bKumar,57.14,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3040,63,c†DhonibSharma,80.65,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3028,69,cHarbhajanSinghbMishra,96.55,7,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4170,1,runout,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4169,3,lbwbWilley,60.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4168,5,cHalesbRashid,55.56,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4167,16,cRashidbPlunkett,136.36,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4166,13,cWoodbAli,63.16,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4125,38,bCurran,77.27,2,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4123,27,notout,80.65,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4117,32,notout,88.57,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4108,30,cAlibPlunkett,87.10,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3034,1,cTaylorbBond,16.67,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3286,7,lbwbAbdurRazzak,87.50,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3024,36,c†WaltonbBernard,55.93,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3134,9,cMorganbBresnan,36.36,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3133,53,lbwbYardy,91.67,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3131,19,c†KieswetterbBroad,55.17,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3141,62,bSwann,60.00,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3124,94,cO'BrienbKJO'Brien,66.39,5,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3030,34,lbwbShahidAfridi,72.50,3,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3233,5,lbwbPlunkett,71.43,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3015,60,c†PriorbRashid,82.26,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3018,131,c†PriorbMascarenhas,75.00,14,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3017,19,cRashidbBresnan,55.17,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3012,33,lbwbCollingwood,82.86,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3010,28,cMorganbWright,59.09,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3009,0,runout,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3032,5,c†DaviesbOnions,100.00,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3084,19,bRampaul,51.61,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3129,29,bWright,60.47,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3085,26,cPollardbSammy,66.67,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3019,5,c†PriorbOnions,80.00,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3006,34,notout,76.32,5,0,Middle Order
