match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4260,0,bThomas,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4215,1,notout,12.50,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4212,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4149,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4125,13,notout,157.14,0,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4123,39,cMarshbTye,100.00,2,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4146,26,notout,220.00,4,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4139,2,notout,100.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4138,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4137,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4254,0,lbwbHolder,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4075,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4408,6,cBavumabNgidi,55.56,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4405,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=4401,15,notout,83.33,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4300,35,notout,193.33,2,2,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4297,36,bHasanAli,103.33,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4284,52,notout,83.93,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4294,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4211,-,dnb,-,-,-,Tail
