match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4353,10,cJadejabKumar,90.91,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4249,40,lbwbChahal,75.51,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4242,39,lbwbKuldeepYadav,106.25,3,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4239,12,c&amp;bChahal,110.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4089,76,runout,125.00,7,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4088,40,bPatel,61.29,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4085,119,notout,100.98,8,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3955,22,cYadavbBumrah,111.76,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3954,43,cRahanebPatel,97.50,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3953,70,cPandyabJadhav,84.72,3,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3952,54,lbwbJadhav,100.00,6,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3951,92,notout,80.61,7,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4149,10,cStokesbRashid,52.63,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3720,26,notout,157.14,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3971,5,lbwbMustafizurRahman,57.14,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3970,26,lbwbShakibAlHasan,62.86,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4410,35,notout,94.12,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4402,85,cMohammedShamibKuldeepYadav,143.75,8,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4423,42,cShortbHazlewood,95.00,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4315,14,notout,72.22,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4355,51,csubbWoakes,83.93,2,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4341,14,cSmithbStarc,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4337,1,c†SarfarazAhmedbShaheenShahAfridi,7.14,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4333,12,c&amp;bCottrell,75.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4328,1,c†deKockbMorris,25.00,0,0,Middle Order
