match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4074,32,cRahanebYadav,76.32,1,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4071,4,bBumrah,66.67,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4069,44,cPandeybChahal,100.00,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4067,5,c†DhonibPandya,83.33,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4076,46,bPatel,71.19,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4170,69,cMorganbPlunkett,133.33,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4169,76,cWilleybRashid,98.44,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4168,62,c&amp;bAli,130.77,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4167,24,cHalesbWood,126.67,3,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4166,5,cBairstowbWilley,125.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4125,24,runout,73.33,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4123,115,cMorganbWood,89.72,15,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4115,7,c&amp;bRoot,38.89,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4108,6,bPlunkett,62.50,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4041,84,notout,110.94,5,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3988,62,cBrownliebBoult,73.61,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4032,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3984,6,cMunrobBoult,33.33,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3968,39,bSantner,52.86,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3967,71,cMunrobSouthee,178.13,6,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3966,61,c&amp;bBoult,86.67,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4226,7,cMarkrambRabada,28.57,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4224,10,lbwbNgidi,114.29,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4222,1,c†deKockbSteyn,11.11,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4035,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3981,147,cAzharAlibHasanAli,93.43,9,3,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3977,65,cShoaibMalikbMohammadAmir,141.67,2,4,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3975,27,notout,92.00,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3973,34,c†MohammadRizwanbHasanAli,93.55,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3972,44,c†MohammadRizwanbImadWasim,100.00,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3937,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3898,1,c†RamdinbPollard,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3950,39,c†deKockbAbbott,81.40,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3940,20,st†deKockbImranTahir,100.00,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3924,34,cDilshanbMathews,64.58,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3923,11,st†PererabMDKPerera,58.82,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3947,0,lbwbShamsi,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3945,41,c&amp;bRabada,194.44,4,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3942,64,lbwbRabada,113.33,5,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3929,42,lbwbMDKPerera,66.67,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3927,41,bMDKPerera,75.00,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3931,14,cLakmalbdeSilva,65.00,1,0,Middle Order
