match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3514,30,notout,103.85,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3126,5,cKohlibHarbhajanSingh,55.56,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3681,20,bStarc,70.37,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4114,2,cTaylorbHenry,50.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3128,25,runout,91.67,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3585,31,cAmlabMcLaren,71.43,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3577,6,lbwbPhilander,38.46,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3569,23,c†deVilliersbTsotsobe,52.63,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3509,17,cIngrambMcLaren,55.17,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3550,37,c&amp;bUtseya,132.00,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3549,70,runout,83.10,5,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3546,1,runout,100.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3574,15,c†deKockbTsotsobe,48.15,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3497,3,cTaylorbHaq,25.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3571,15,c†deVilliersbMcLaren,56.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3122,7,c†SangakkarabMalinga,26.92,0,0,Top Order
