match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3457,13,cJadejabSharma,39.29,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3456,20,bSharma,100.00,1,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3455,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3399,0,notout,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3282,2,lbwbNehra,66.67,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3025,0,cRainabSharma,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2817,9,cISharmabYuvrajSingh,77.78,0,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2829,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2819,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2758,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2757,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2756,2,notout,100.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2755,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2754,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2426,20,notout,106.25,3,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2428,-,dnb,-,-,-,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3925,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3932,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3930,8,notout,200.00,0,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3799,0,runout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3624,14,cRahanebKumar,100.00,0,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3372,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3713,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3258,39,notout,136.00,3,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3232,1,csubbBennett,50.00,0,0,Tail
