match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4234,3,cStoinisbRichardson,37.50,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4353,1,lbwbBoult,16.67,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4316,94,cCumminsbStoinis,106.49,4,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4266,145,bZampa,129.47,16,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4342,77,csubbPlunkett,86.84,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4338,84,csubbHolder,87.80,8,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4332,76,cRahmatShahbMohammadNabi,106.35,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4324,88,c†SarfarazAhmedbMohammadAmir,118.46,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4350,37,notout,82.93,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4310,19,c†deKockbPhehlukwayo,52.94,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4263,130,cStoinisbCummins,96.67,10,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4345,29,cRubelHossainbMustafizurRahman,96.30,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4258,52,lbwbZampa,97.78,6,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4242,48,cSodhibBoult,95.56,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4239,48,c†LathambFerguson,76.27,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4236,49,c†CareybRichardson,74.19,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4235,117,cMaxwellbRichardson,92.86,5,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4171,86,st†ButtlerbRashid,91.46,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4220,18,c†HopebRoach,94.12,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4219,123,bSamuels,89.92,10,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4216,182,notout,121.71,13,4,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4213,169,st†HopebBishoo,130.84,21,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4130,88,cMillerbMorris,90.36,7,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4175,83,bRashid,98.61,8,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4173,47,lbwbAli,80.36,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4128,180,notout,100.63,12,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4127,52,notout,92.00,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4135,156,notout,134.38,19,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4133,38,runout,66.67,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4221,39,notout,113.79,6,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4126,126,cRabadabPhehlukwayo,94.12,10,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4042,89,notout,75.25,7,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4089,128,cWilliamsonbSouthee,106.60,9,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4088,34,c†LathambdeGrandhomme,100.00,3,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4085,138,cBoultbSouthee,96.80,9,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4074,24,bCoulter-Nile,100.00,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4071,30,cFinchbAgar,80.00,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4069,104,bCoulter-Nile,85.98,8,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4067,0,cMaxwellbCoulter-Nile,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4064,156,cMunaweerabMalinga,136.46,17,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4063,3,cChameerabFernando,27.27,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4062,5,bDananjaya,200.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4061,98,notout,117.14,10,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4038,0,c†DickwellabPradeep,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4053,13,cHopebHolder,50.00,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4052,103,cNursebJoseph,131.82,4,4,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4051,33,notout,68.09,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4050,5,cShadabKhanbMohammadAmir,55.56,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4047,113,notout,123.08,13,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4057,131,notout,96.52,12,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4034,97,notout,119.12,6,3,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4065,123,notout,94.83,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4056,3,c†SDHopebHolder,25.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3978,67,c†ButtlerbStokes,87.30,8,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3976,10,cStokesbWoakes,160.00,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3974,144,cWilleybStokes,116.19,8,5,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4076,41,cStoinisbZampa,70.91,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3874,106,cFinchbFaulkner,93.81,9,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3955,73,cGuptillbSodhi,85.53,2,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3954,49,c†WatlingbSodhi,88.24,2,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3953,176,notout,114.93,16,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3952,10,c†RonchibSantner,69.23,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3951,100,notout,104.94,9,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3878,9,c†WadebHastings,72.73,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3877,123,cSmithbRichardson,115.22,11,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3876,132,cBaileybHastings,100.00,7,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3875,67,runout,88.06,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3841,11,cMorkelbSteyn,61.11,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3851,9,c†deKockbRabada,116.67,0,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3848,158,c†deKockbRabada,98.57,6,5,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3845,86,cMillerbMorkel,77.78,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3844,12,runout,66.67,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3781,50,notout,104.76,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3811,26,bShakibAlHasan,71.43,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3810,28,lbwbNasirHossain,85.19,3,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3808,1,c†MushfiqurRahimbTaskinAhmed,25.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3775,38,cSamuelsbRussell,91.67,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3795,1,c†HaddinbJohnson,7.69,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3791,3,c†MushfiqurRahimbRubelHossain,37.50,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3786,42,bSikandarRaza,79.17,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3768,38,notout,80.49,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3760,49,cduPlessisbImranTahir,76.67,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3751,119,c†UmarAkmalbSohailKhan,84.92,8,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3744,8,cRootbAli,42.11,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3741,3,notout,33.33,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3735,4,c†ButtlerbFinn,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3731,9,cBaileybFaulkner,56.25,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3680,71,cSamuelsbRampaul,79.49,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3683,150,runout,111.40,13,3,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3667,44,cTredwellbStokes,80.00,2,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3664,0,cCookbWoakes,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3678,2,cSammybTaylor,40.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3672,15,cCookbAnderson,61.90,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3670,1,notout,33.33,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3612,99,csubbNLMcCullum,105.13,7,3,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3609,2,cNeeshambSouthee,20.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3607,7,c†RonchibBennett,30.00,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3603,93,csubbSouthee,120.00,7,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3601,142,cRyderbMcClenaghan,110.81,11,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3583,22,c†CharlesbRampaul,105.56,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3581,112,cHolderbRampaul,99.00,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3580,103,cNarinebHolder,102.38,9,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3588,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=3530,2,c†SangakkarabEranga,40.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3510,26,bNarine,122.22,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3459,16,c†KieswetterbBresnan,68.18,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3568,139,notout,174.24,18,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3565,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3564,81,c†HaddinbMaxwell,93.15,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3563,126,notout,192.31,8,7,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3562,71,lbwbWatson,71.76,6,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3587,0,c†deKockbTsotsobe,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3521,13,cGaylebSammy,52.38,0,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3519,49,cBoparabAnderson,126.47,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3518,68,notout,90.63,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3514,25,notout,81.48,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3505,33,cAmlabTsotsobe,75.61,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3457,8,cYounisKhanbJunaidKhan,41.18,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3586,36,cKallisbMcLaren,88.57,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3456,7,c†KamranAkmalbJunaidKhan,66.67,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3572,0,runout,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3470,0,cTredwellbBresnan,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3468,29,c&amp;bTredwell,78.79,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3463,94,notout,97.47,9,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3461,40,cBellbWoakes,68.52,1,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3455,0,bJunaidKhan,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3373,19,cForrestbMcKay,64.29,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3369,91,runout,81.91,8,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3434,146,notout,107.56,12,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3433,40,c&amp;bHerath,58.46,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3432,1,c†SangakkarabPerera,20.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3431,119,csubbPerera,93.81,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3367,34,cPontingbMcKay,91.18,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3435,25,lbwbPradeep,65.71,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3399,211,cMohammadHafeezbUmarGul,123.65,22,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3397,75,bAbdurRazzak,80.49,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3395,119,cThirimannebMaharoof,90.00,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3387,157,notout,154.65,16,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3386,23,cChristianbWatson,77.78,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3380,12,cDJHusseybHilfenhaus,48.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3375,16,lbwbPerera,60.00,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3263,1,c&amp;bPeterson,33.33,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3214,62,cSmithbSteyn,77.14,2,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3327,17,c†KieswetterbSwann,44.44,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3346,0,bFinn,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3343,101,notout,86.87,11,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3341,40,lbwbSwann,116.67,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3337,132,notout,114.29,16,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3335,37,cPietersenbPatel,58.73,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3331,122,hitwicketbSwann,115.05,9,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3325,7,c†KieswetterbAnderson,38.89,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3259,14,bBorren,60.00,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3323,9,cBellbSwann,100.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3256,37,runout,64.15,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3282,9,cUmarAkmalbWahabRiaz,42.86,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3278,25,cClarkebDJHussey,72.73,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3276,68,bRampaul,77.63,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3322,63,bPatel,75.34,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3245,9,bBresnan,160.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3235,116,notout,120.48,8,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3283,39,c&amp;bDilshan,71.43,4,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3222,2,c†deVilliersbMorkel,33.33,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3219,102,notout,94.57,7,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3217,33,c†deVilliersbMorkel,68.29,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3215,23,runout,64.71,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3072,117,notout,107.37,11,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3193,135,cHopesbHastings,97.52,11,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3071,84,notout,104.41,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3171,42,cMathewsbPerera,64.91,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3170,9,c†HopkinsbSouthee,50.00,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3163,0,c†SangakkarabFernando,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3069,102,c&amp;bShakibAlHasan,89.22,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3130,32,c†SangakkarabMalinga,82.35,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3132,11,c†SangakkarabMaharoof,71.43,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3126,19,bSaeedAjmal,66.67,1,0,Top Order
