match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4353,6,c†LathambNeesham,100.00,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4316,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4342,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4338,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4332,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4324,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4310,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4249,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4345,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4242,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4239,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4236,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4171,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4219,3,csubbRoach,60.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4216,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4213,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4130,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4205,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4201,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4199,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4197,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4196,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4175,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4173,14,cStokesbWilley,100.00,2,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4128,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4127,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4135,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4133,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4126,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4099,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4098,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4089,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4088,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4085,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4096,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4074,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4071,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4069,1,runout,50.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4067,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4063,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4062,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4061,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4065,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3895,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3899,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3897,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4410,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4248,21,notout,48.65,3,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4245,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4406,11,runout,83.33,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4362,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4268,0,c&amp;bCummins,0.00,0,0,Tail
