match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4345,41,bBumrah,100.00,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4047,23,cJadejabKumar,90.48,4,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0534,34,notout,110.34,2,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0560,31,st†DhonibRaina,173.33,3,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0522,50,c†DhonibPandya,137.50,2,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3811,49,bBinny,113.16,6,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3810,25,notout,95.65,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3808,48,bJadeja,93.18,5,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3791,32,cMohammedShamibYadav,75.00,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4031,27,cRoybPlunkett,160.00,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3780,16,cMorganbJordan,116.67,0,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3799,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0590,20,bWilliamson,112.50,2,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0589,57,cBoultbSodhi,150.00,3,3,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0588,19,cHenrybFerguson,106.67,1,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3971,23,c†RonchibHenry,135.71,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3970,46,runout,77.55,2,3,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0526,104,cJayasuriyabChameera,148.15,10,3,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0524,6,cFahadTariqbRohanMustafa,50.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0497,1,csubbChisoro,25.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0495,67,cMuzarabanibSikandarRaza,156.25,9,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0494,50,notout,143.33,1,3,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0493,52,cWallerbCremer,127.78,4,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0683,16,cSamiullahShinwaribMohammadNabi,144.44,3,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0681,0,lbwbRashidKhan,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4252,122,c&amp;bSouthee,92.73,12,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4250,15,st†LathambSantner,65.00,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4039,10,c†RonchibSouthee,88.89,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4027,78,runout,78.31,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4024,1,bSantner,25.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3969,18,cBoultbFerguson,145.45,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0563,13,cSantnerbMcCullum,66.67,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0372,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3949,54,c†ButtlerbRashid,106.52,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3948,3,bBall,14.29,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3946,21,cWilleybBall,163.64,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4251,50,cNeeshambFerguson,66.15,7,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3784,49,cMcCullumbElliott,173.91,5,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4329,0,bCoulter-Nile,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4035,8,cSmithbZampa,57.14,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0557,14,cFaulknerbWatson,70.59,2,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0925,1,c†RahmanullahGurbazbNaveen-ul-Haq,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0914,25,cGulbadinNaibbMujeebUrRahman,88.89,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0912,16,cBurlbMadziva,100.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4358,7,csubbKumara,41.18,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4357,13,runout,57.89,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4356,71,cFernandobdeSilva,107.14,7,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4286,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4296,0,lbwbGabriel,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4295,8,notout,87.50,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4293,0,notout,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0673,0,runout,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0672,35,c†KarthikbUnadkat,115.38,3,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4181,14,cLewisbCottrell,133.33,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4180,13,cHetmeyerbPaul,109.09,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4179,3,st†HopebBishoo,75.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0677,100,bUnadkat,154.00,7,4,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0676,16,st†MDKJPererabDananjaya,162.50,3,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0675,31,bThakur,117.39,2,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0663,1,bPerera,50.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4124,2,cGunaratnebChameera,22.22,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4122,12,csubbPerera,83.33,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4121,6,cErvinebJarvis,54.55,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4116,29,notout,200.00,3,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4109,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4022,0,cMurtaghbChase,0.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0644,6,cHendricksbDuminy,100.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0641,23,cPhehlukwayobHendricks,118.75,0,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4086,45,c†deKockbMarkram,79.59,6,0,Middle Order
