match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0646,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0548,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0264,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0568,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0489,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0558,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0552,2,notout,100.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0496,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0492,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0491,2,notout,100.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0723,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0724,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0357,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0420,2,notout,66.67,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0358,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0274,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0197,3,notout,42.86,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0195,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0462,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0464,11,notout,142.86,1,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0463,2,notout,100.00,0,0,Tail
