match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0638,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0637,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0501,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0499,5,bBumrah,100.00,1,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0661,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0660,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0694,24,cPlunkettbWilley,181.82,0,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0657,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0668,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0729,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0664,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0732,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0731,14,notout,92.31,2,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0730,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0722,5,c†SarfarazAhmedbHasanAli,55.56,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0720,2,notout,200.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0719,7,bShaheenShahAfridi,200.00,1,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0718,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0705,0,bMohammadAmir,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0703,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0702,14,notout,150.00,0,1,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0698,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0697,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0532,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0611,0,lbwbKulasekara,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0610,-,dnb,-,-,-,Tail
