match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0501,15,cJadejabBumrah,144.44,2,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0499,2,c†DhonibPandya,50.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0498,19,cYuvrajSinghbPandya,106.25,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0661,39,c†ButtlerbJordan,163.16,4,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0660,0,bWilley,0.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0360,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0359,40,notout,173.68,1,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0657,52,cSodhibBoult,133.33,6,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0668,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0729,17,bMorris,140.00,3,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0664,21,cGuptillbdeGrandhomme,138.46,1,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0732,14,runout,130.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0731,16,cPandyabAhmed,100.00,1,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0730,46,c&amp;bKuldeepYadav,185.00,1,4,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0722,17,cFaheemAshrafbShadabKhan,115.38,2,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0720,9,cShadabKhanbImadWasim,58.33,0,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0719,16,bFaheemAshraf,93.33,2,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0718,24,c†GhulamShabberbAmirHayat,153.85,4,0,Top Order
