match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0745,35,c†DhonibKumar,187.50,3,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0744,67,cSharmabHHPandya,178.57,1,4,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0742,3,csubbHHPandya,75.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0647,21,notout,170.00,0,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0646,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0645,0,cDhawanbPatel,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0665,9,notout,160.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0662,0,cJordanbRashid,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0590,4,notout,133.33,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0589,2,bRubelHossain,100.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0588,50,notout,186.36,3,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1079,5,cDubebThakur,41.67,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1077,3,c&amp;bJadeja,60.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1074,0,cDubebJadeja,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1054,7,cVincebMahmood,120.00,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=1051,9,cBantonbParkinson,233.33,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0911,0,bMalinga,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1043,74,cBantonbTKCurran,157.14,5,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1040,35,bGregory,233.33,1,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0902,75,cFernandobUdana,128.26,2,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1035,22,cVincebRashid,135.71,1,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0901,52,bMalinga,157.14,4,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0657,45,notout,158.33,1,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0668,11,cMaxwellbAgar,166.67,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0656,1,bAamerYamin,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0655,13,st†SarfarazAhmedbShadabKhan,333.33,1,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0654,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0609,19,cDuminybImranTahir,214.29,0,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0723,6,runout,100.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0726,6,runout,75.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0664,3,bRichardson,75.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0724,4,cShoaibMalikbImadWasim,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0221,0,notout,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0224,3,notout,42.86,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0223,2,cLevibMMorkel,66.67,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0222,9,bChigumbura,114.29,1,0,Middle Order
