match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0706,6,c†DhonibPandya,66.67,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0704,19,cDhawanbPandya,89.47,2,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0699,7,cKohlibKuldeepYadav,116.67,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0607,18,cPandyabMishra,73.91,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0606,68,cRainabParvezRasool,134.21,1,4,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0608,48,cPantbChahal,190.48,2,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0411,96,cRahanebMohammedShami,229.03,3,7,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0297,58,notout,188.46,5,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0295,5,cRahanebYuvrajSingh,55.56,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0275,2,bHarbhajanSingh,33.33,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0206,58,cSharmabMMPatel,181.48,7,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0770,13,notout,125.00,1,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0769,1,c†HopebBrathwaite,33.33,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0768,9,cGaylebBrathwaite,50.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0721,13,runout,110.00,2,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0660,26,cWarnerbMaxwell,157.14,2,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0694,18,cTyebSwepson,187.50,1,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0665,104,notout,173.91,4,6,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0633,2,cLewisbNarine,28.57,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0628,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0580,14,c†SarfarazAhmedbWahabRiaz,87.50,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0568,0,lbwbSodhi,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0564,25,runout,137.50,1,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0553,12,bDuminy,80.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0550,32,notout,192.86,1,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0570,6,cGaylebBadree,41.67,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0518,46,runout,165.22,0,4,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0516,11,cWiesebImranTahir,83.33,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0481,50,notout,118.42,3,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0465,99,cWatsonbCoulter-Nile,189.74,3,7,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0432,4,cTaylorbHenry,66.67,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0368,3,cSimmonsbBadree,42.86,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0367,23,csubbSamuels,105.56,4,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0407,5,cLakmalbNLTCPerera,45.45,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0400,7,cBorrenbvanderGugten,75.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0397,15,c†deKockbImranTahir,100.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0393,76,cMathewsbKulasekara,150.00,7,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0386,13,cBBMcCullumbSouthee,80.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0370,21,cSmithbNarine,105.88,1,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0361,40,cStarcbCutting,170.00,2,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0360,7,runout,200.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0359,5,bMaxwell,100.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0305,15,cMunrobButler,59.09,2,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0304,56,cTaylorbHira,176.92,4,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0333,24,cCoulter-NilebFawadAhmed,181.82,0,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0332,0,cMaxwellbJohnson,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0321,7,cTaylorbButler,70.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0307,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0263,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0282,33,cBracewellbMills,96.77,1,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0279,93,notout,197.22,4,5,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0271,30,cNawrozMangalbIzatullahDawlatzai,117.39,1,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0261,11,bBotha,90.91,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0248,2,notout,200.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0287,11,lbwbDananjaya,66.67,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1054,22,cKuggeleijnbBoult,242.86,1,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1051,120,cMitchellbSouthee,221.95,7,7,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1043,22,cMunrobSantner,138.46,0,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1040,41,cdeGrandhommebSantner,188.24,3,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1035,40,notout,161.90,4,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1087,79,notout,259.09,0,7,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0173,46,cVettoribBond,117.65,4,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1082,69,cBavumabHendricks,152.94,7,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1084,31,cBavumabPretorius,112.50,2,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0791,76,notout,196.55,5,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0574,52,notout,120.51,1,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0559,0,bMohammadNabi,0.00,0,0,Middle Order
