match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0745,26,cWilliamsonbKuggeleijn,190.91,1,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0744,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0742,5,cMitchellbSodhi,100.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0706,41,notout,235.71,4,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0693,8,notout,600.00,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0704,14,notout,120.00,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0699,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0670,23,c†KlaasenbMorris,123.53,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0669,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0667,15,notout,185.71,2,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0650,4,c†DickwellabShanaka,100.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0649,13,cSamarawickramabPradeep,333.33,1,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0648,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0638,27,csubbStoinis,108.70,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0647,16,notout,140.00,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0637,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0646,1,bSodhi,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0607,2,runout,66.67,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0606,9,cBillingsbMills,75.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0645,0,c†LathambSodhi,0.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0608,13,runout,275.00,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0510,32,cGunathilakabPerera,225.00,1,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0509,2,lbwbShanaka,33.33,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0534,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0569,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0566,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0560,19,cSoumyaSarkarbAl-AminHossain,214.29,2,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0554,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0548,1,lbwbSantner,14.29,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0530,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0525,0,cMohammadHafeezbMohammadSami,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0522,37,cMahmudullahbAl-AminHossain,172.22,4,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0511,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0501,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0499,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0498,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0528,2,bHerath,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0926,15,cMillerbRabada,77.78,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0921,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0695,41,notout,355.56,1,4,Middle Order
