match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0670,71,cSharmabThakur,134.15,2,3,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0669,82,notout,160.00,4,3,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0667,3,cRainabKumar,42.86,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0469,33,notout,76.92,3,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0468,91,notout,200.00,1,7,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0405,52,notout,112.50,1,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0289,16,cGambhirbBalaji,69.57,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0198,0,lbwbYuvrajSingh,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0156,5,notout,400.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0114,10,st†DhonibRaina,66.67,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0553,71,notout,192.86,3,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0518,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0516,25,cRootbRashid,109.52,2,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0397,5,runout,100.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0263,5,c&amp;bSwann,83.33,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0261,51,notout,87.04,4,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0609,35,runout,181.25,2,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0163,29,cNawrozMangalbHamidHassan,119.05,0,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0716,38,notout,126.92,3,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0711,3,lbwbdeSilva,37.50,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0389,110,notout,200.00,10,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0165,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0100,34,cBroombMills,126.09,1,2,Middle Order
