match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0580,79,notout,140.48,8,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0558,3,cElliottbSantner,42.86,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0561,52,bFaulkner,112.2,4,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0584,24,bWilliams,105.0,3,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0583,45,runout,111.11,3,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0582,40,notout,106.25,4,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0177,16,cWarnerbNannes,216.67,1,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0136,7,lbwbWatson,75.0,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0247,1,runout,16.67,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0246,3,c†SangakkarabMathews,25.0,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0145,4,c†PriorbWright,66.67,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0074,0,cMatsikenyeribMpofu,0.0,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0172,8,cSteynbKallis,77.78,1,0,Top Order
