match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0745,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0693,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0704,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0699,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0650,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0649,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0648,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0638,17,c†PainebTye,84.21,1,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0631,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0647,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0637,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0632,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0732,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0731,-,dnb,-,-,-,
Matches/MatchScorecard_T20.asp?MatchCode=0730,5,notout,400.00,1,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0727,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0725,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1067,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0695,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1069,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=1068,-,dnb,-,-,-,
