match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0354,32,notout,127.27,2,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0488,1,notout,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0483,1,notout,100.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0380,2,notout,100.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0353,26,cStirlingbSorensen,129.41,2,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0350,0,cOdhiambobAllan,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0336,2,lbwbNNOdhiambo,40.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0334,1,bAga,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0313,4,notout,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0310,4,notout,80.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0242,11,cPorterfieldbO'Brien,112.50,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0236,1,runout,100.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0235,2,bMudassarBukhari,100.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0143,23,runout,211.11,0,2,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0139,10,notout,266.67,0,1,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0137,1,runout,100.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0163,28,bLangeveldt,92.00,1,2,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0134,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0187,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0456,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0454,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0453,0,notout,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0444,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0441,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0440,0,cvanderMerwebAhsanMalik,0.00,0,0,Middle Order
