match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0580,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0481,7,bParry,66.67,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0496,5,runout,100.00,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0743,29,cDalabSipamla,118.18,3,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0741,1,notout,100.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0740,2,runout,100.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0425,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1076,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1075,5,notout,100.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0486,28,c&amp;bRashid,104.35,4,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1050,0,bStarc,0.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=1044,15,st†CareybAgar,87.50,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1041,34,cCumminsbAgar,93.94,1,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0467,17,cWilliamsbJongwe,100.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0466,36,notout,103.13,1,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0460,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0427,6,cSikandarRazabMpofu,85.71,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0461,18,bNLTCPerera,94.44,1,0,Middle Order
