match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0925,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0914,2,c&amp;bRashidKhan,66.67,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0912,7,notout,300.00,1,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0663,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0644,26,cAmlabHendricks,88.46,1,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0641,44,notout,144.44,3,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0621,7,runout,120.00,1,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0620,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0735,6,c†HopebPaul,71.43,1,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0734,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0733,1,cPooranbBrathwaite,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0666,23,csubbUdana,95.24,1,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1127,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0919,7,notout,300.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1129,-,dnb,-,-,-,Middle Order
