match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0137,2,cNoorAliZadranbShapoorZadran,33.33,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0187,31,runout,103.70,3,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0130,21,c†MohammadShahzadbDawlatAhmadzai,138.46,3,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0267,22,bWatson,83.33,2,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0543,-,dnb,-,-,-,
Matches/MatchScorecard_T20.asp?MatchCode=0508,29,cBaubVala,84.38,2,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0513,4,bMohammadNaveed,66.67,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0512,42,st†PatilbRohanMustafa,131.03,2,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0538,17,cMehranKhanbAnsari,145.45,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0506,3,bVanua,75.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0546,4,notout,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0447,10,bGavera,75.00,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0445,3,bSompalKami,50.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0342,30,st†BagaibHansra,112.50,3,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0276,27,bGayle,119.05,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0253,24,cAbdurRazzakbMashrafeMortaza,91.67,2,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0251,10,st†MushfiqurRahimbEliasSunny,100.00,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0153,7,c†RamdinbRampaul,120.00,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0161,11,notout,180.00,2,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0132,65,lbwbKhurramChohan,147.06,5,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0111,8,c&amp;bMohammadAmir,70.00,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0142,20,cWattsbDrummond,121.43,3,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0144,11,cBorrenbMohammadKashif,73.33,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0103,3,cOrambMills,75.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0097,49,cRubelHossainbShakibAlHasan,160.00,3,3,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0109,35,st†SangakkarabMendis,83.78,4,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0068,-,dnb,-,-,-,
Matches/MatchScorecard_T20.asp?MatchCode=0064,11,cTikolobKamande,36.67,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0063,6,cPitcherbKelly,125.00,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0059,23,c†SmithbBlain,59.46,1,0,Top Order
