match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0768,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0872,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0874,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0735,0,runout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0734,0,bMahmudullah,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0733,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0877,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0728,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0727,10,notout,200.00,2,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0725,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=1122,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=1119,-,dnb,-,-,-,Tail
