match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0405,7,c†DhonibKumar,150.0,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0553,73,cHalesbAli,216.67,7,3,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0397,31,st†ButtlerbTredwell,87.88,2,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0609,0,cSantnerbBoult,0.0,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=1109,6,bStarc,166.67,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=1087,44,cBairstowbStokes,145.83,1,4,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0716,31,bMavuta,113.04,3,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0729,26,st†CareybMaxwell,137.5,0,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0711,24,runout,181.82,4,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0926,103,notout,151.92,6,5,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0921,68,cKohlibSaini,140.54,8,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0389,4,c†RonchibMills,50.0,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0539,31,cHastingsbCoulter-Nile,192.31,4,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0533,54,bFaulkner,157.14,8,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0532,8,c&amp;bCoulter-Nile,87.5,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0369,51,notout,205.0,2,4,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0415,57,c†DunkbCummins,177.78,5,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0414,0,c†DunkbBollinger,0.0,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0371,47,c†HaddinbHogg,102.5,2,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0641,74,lbwbRubelHossain,134.09,5,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0438,52,cSabbirRahmanbArafatSunny,141.94,4,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0437,14,cLitonDasbNasirHossain,150.0,0,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=1082,38,cDenlybAli,206.67,3,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=1084,91,cStokesbWood,295.45,2,8,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0392,0,cMyburghbSwart,0.0,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0562,52,bRussell,102.17,3,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0348,30,cNasirJamshedbShahidAfridi,108.33,4,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0345,51,cSohailTanvirbMohammadHafeez,130.3,8,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=1091,91,cStarcbZampa,148.94,5,4,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=1089,2,bStarc,66.67,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0773,15,cDickwellabDananjaya,76.47,2,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0715,6,cChibhabhabMpofu,100.0,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0339,36,csubbSaeedAjmal,157.89,6,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0338,55,notout,126.32,3,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0567,11,runout,150.0,2,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0300,2,cAndersonbMcClenaghan,50.0,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0298,0,notout,0.0,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0413,52,cWhitebBoyce,117.95,4,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0385,31,bMalinga,138.89,4,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0296,33,notout,121.74,5,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0555,55,c†MohammadShahzadbAmirHamza,145.16,6,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0329,19,lbwbMendis,84.21,3,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0328,22,st†SangakkarabSenanayake,82.61,3,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0327,6,lbwbSenanayake,71.43,1,0,Top Order
