match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0094,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0590,1,notout,100.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0589,1,c†RonchibWheeler,50.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0588,2,notout,100.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0683,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0681,0,bShapoorZadran,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0673,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0672,0,runout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0677,0,bUnadkat,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0676,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0675,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0663,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0644,1,notout,50.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0641,2,notout,66.67,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0381,0,bNadeemAhmed,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0363,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0707,2,notout,50.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0710,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0709,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0294,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0218,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0211,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0118,9,notout,160.00,1,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0410,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0362,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0316,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0097,-,dnb,-,-,-,Tail
