match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0650,33,runout,93.75,1,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0649,0,lbwbNLTCPerera,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0648,27,c†DickwellabPradeep,120.00,3,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0647,6,cGuptillbSodhi,100.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0646,27,c&amp;bMunro,109.52,4,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0645,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1081,38,notout,106.45,1,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1080,1,c†SeifertbSodhi,14.29,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1079,19,st†SeifertbSantner,106.25,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1077,51,cSoutheebSodhi,133.33,1,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1074,77,notout,200.00,5,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0926,5,st†deKockbFortuin,62.50,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0921,18,notout,114.29,2,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1065,11,cKingbWalsh,90.91,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1063,4,c&amp;bPollard,66.67,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1055,83,cLitonDasbSoumyaSarkar,187.88,3,5,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1047,29,notout,184.62,3,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1042,27,cMohammadNaimbAminulIslam,169.23,1,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1067,0,notout,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1070,5,c&amp;bSandakan,200.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1069,39,cShanakabKumara,130.77,3,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=1068,-,dnb,-,-,-,
