match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0693,8,cKohlibKuldeepYadav,70.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1128,13,notout,133.33,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0765,0,lbwbRashidKhan,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0764,20,notout,141.67,1,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0712,22,cMujeebUrRahmanbAftabAlam,117.65,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1073,5,cCottrellbRutherford,62.50,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1072,4,c†PooranbCottrell,133.33,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1071,0,cLewisbCottrell,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0763,11,st†ShafiqullahbMohammadNabi,128.57,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0761,9,cCooperbKlaassen,133.33,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0760,3,runout,75.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0747,1,runout,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0686,75,notout,196.55,4,3,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0689,0,runout,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0690,29,c†CrossbBerrington,113.04,3,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0688,15,bvanderMerwe,130.00,2,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1124,15,notout,130.00,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1120,4,runout,133.33,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0713,0,bMohammadNabi,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0948,5,cKaranKCbBohara,55.56,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0945,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1038,0,cViljoenbSmit,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0695,0,lbwbChahal,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0924,3,cMacLeodbSole,75.00,0,0,Middle Order
