match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0534,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0522,18,notout,100.00,1,1,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0590,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0526,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0524,1,runout,50.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0497,1,notout,100.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0402,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0673,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0672,9,notout,88.89,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0644,5,runout,133.33,1,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0641,0,lbwbPaterson,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0620,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0543,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0537,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0549,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0547,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0529,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0425,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0410,-,dnb,-,-,-,Tail
