match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0384,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0301,6,cRahanebISharma,100.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0299,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0285,15,c†DhonibBalaji,120.00,1,1,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0046,0,bRPSingh,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0029,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0398,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0387,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0403,4,cSimmonsbSantokie,57.14,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0492,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0491,1,notout,100.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0421,0,cTaylorbMills,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0274,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0196,0,cGuptillbMcCullum,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0195,35,lbwbMills,96.77,3,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0124,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0125,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0044,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0262,3,runout,50.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0258,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0288,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0425,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0277,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0218,5,notout,200.00,1,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0185,12,runout,166.67,0,1,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0136,12,bNannes,111.11,0,1,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0111,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0311,1,cBehardienbAbbott,25.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0246,5,cThirimannebMalinga,50.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0096,9,notout,133.33,1,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0090,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0280,40,cPetersonbSteyn,188.24,2,3,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0259,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0290,2,notout,33.33,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0231,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0230,13,c†KieswetterbFinn,250.00,1,1,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0228,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0217,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0193,0,bTheron,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0192,0,cSmithbTsotsobe,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0189,19,cBoparabSidebottom,123.08,1,1,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0186,0,bO'Keefe,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0188,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0146,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0145,1,notout,50.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0105,11,notout,225.00,0,1,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0099,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0117,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0115,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0108,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0074,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0073,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0077,2,notout,200.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0071,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0055,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0022,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0042,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0037,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0035,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0019,-,dnb,-,-,-,Tail
