match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0554,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0525,4,lbwbJadeja,33.33,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0580,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0482,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0481,25,cAlibTopley,161.54,4,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0496,4,c†RonchibMilne,80.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0492,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0491,2,notout,50.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0197,0,notout,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0196,21,cMcCullumbSouthee,138.46,1,1,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0195,36,notout,142.86,2,2,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0561,0,cHazlewoodbFaulkner,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0412,17,cStarcbFaulkner,80.00,1,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0549,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0425,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0617,29,cHolderbBrathwaite,240.00,1,2,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0616,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0619,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0618,1,cPollardbWilliams,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0583,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0582,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=1044,0,notout,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1041,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0947,14,notout,200.00,0,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0946,8,c†BhanukabPradeep,140.00,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0466,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0426,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0201,6,cSammybRampaul,100.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0188,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0055,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0531,-,dnb,-,-,-,Tail
