,MATCH_ID,SCORE
0,Matches/MatchScorecard_ODI.asp?MatchCode=2498,20
1,Matches/MatchScorecard_ODI.asp?MatchCode=2503,16
4,Matches/MatchScorecard_ODI.asp?MatchCode=2606,16
6,Matches/MatchScorecard_ODI.asp?MatchCode=2616,12
7,Matches/MatchScorecard_ODI.asp?MatchCode=2642,8
8,Matches/MatchScorecard_ODI.asp?MatchCode=2646,16
10,Matches/MatchScorecard_ODI.asp?MatchCode=2665,16
12,Matches/MatchScorecard_ODI.asp?MatchCode=2673,16
14,Matches/MatchScorecard_ODI.asp?MatchCode=2679,16
17,Matches/MatchScorecard_ODI.asp?MatchCode=2699,8
20,Matches/MatchScorecard_ODI.asp?MatchCode=2715,20
23,Matches/MatchScorecard_ODI.asp?MatchCode=2807,16
24,Matches/MatchScorecard_ODI.asp?MatchCode=2849,16
25,Matches/MatchScorecard_ODI.asp?MatchCode=2851,32
28,Matches/MatchScorecard_ODI.asp?MatchCode=2884,8
30,Matches/MatchScorecard_ODI.asp?MatchCode=2958,12
31,Matches/MatchScorecard_ODI.asp?MatchCode=2965,8
32,Matches/MatchScorecard_ODI.asp?MatchCode=3005,8
35,Matches/MatchScorecard_ODI.asp?MatchCode=3157,8
39,Matches/MatchScorecard_ODI.asp?MatchCode=3181,16
40,Matches/MatchScorecard_ODI.asp?MatchCode=3243,12
41,Matches/MatchScorecard_ODI.asp?MatchCode=3249,8
43,Matches/MatchScorecard_ODI.asp?MatchCode=3261,8
45,Matches/MatchScorecard_ODI.asp?MatchCode=3271,8
46,Matches/MatchScorecard_ODI.asp?MatchCode=3321,16
47,Matches/MatchScorecard_ODI.asp?MatchCode=3332,16
48,Matches/MatchScorecard_ODI.asp?MatchCode=3333,8
61,Matches/MatchScorecard_ODI.asp?MatchCode=3724,8
71,Matches/MatchScorecard_ODI.asp?MatchCode=3829,24
72,Matches/MatchScorecard_ODI.asp?MatchCode=3840,8
74,Matches/MatchScorecard_ODI.asp?MatchCode=3921,32
75,Matches/MatchScorecard_ODI.asp?MatchCode=4000,16
76,Matches/MatchScorecard_ODI.asp?MatchCode=4003,8
77,Matches/MatchScorecard_ODI.asp?MatchCode=4006,16
78,Matches/MatchScorecard_ODI.asp?MatchCode=4007,24
82,Matches/MatchScorecard_ODI.asp?MatchCode=4021,8
83,Matches/MatchScorecard_ODI.asp?MatchCode=4022,16
84,Matches/MatchScorecard_ODI.asp?MatchCode=4023,8
85,Matches/MatchScorecard_ODI.asp?MatchCode=4025,8
86,Matches/MatchScorecard_ODI.asp?MatchCode=4026,20
87,Matches/MatchScorecard_ODI.asp?MatchCode=4092,16
88,Matches/MatchScorecard_ODI.asp?MatchCode=4093,12
89,Matches/MatchScorecard_ODI.asp?MatchCode=4097,8
90,Matches/MatchScorecard_ODI.asp?MatchCode=4106,40
91,Matches/MatchScorecard_ODI.asp?MatchCode=4107,32
92,Matches/MatchScorecard_ODI.asp?MatchCode=4111,8
94,Matches/MatchScorecard_ODI.asp?MatchCode=4143,36
95,Matches/MatchScorecard_ODI.asp?MatchCode=4150,24
96,Matches/MatchScorecard_ODI.asp?MatchCode=4152,8
97,Matches/MatchScorecard_ODI.asp?MatchCode=4156,28
98,Matches/MatchScorecard_ODI.asp?MatchCode=4158,24
101,Matches/MatchScorecard_ODI.asp?MatchCode=4190,12
102,Matches/MatchScorecard_ODI.asp?MatchCode=4192,8
