,matchid,date
0,Matches/MatchScorecard_T20.asp?MatchCode=0723,2018-10-31
1,Matches/MatchScorecard_T20.asp?MatchCode=0724,2018-02-11
2,Matches/MatchScorecard_ODI.asp?MatchCode=4089,2017-10-29
3,Matches/MatchScorecard_ODI.asp?MatchCode=4088,2017-10-25
4,Matches/MatchScorecard_ODI.asp?MatchCode=4085,2017-10-22
5,Matches/MatchScorecard_ODI.asp?MatchCode=4039,2017-09-06
6,Matches/MatchScorecard_ODI.asp?MatchCode=4036,2017-06-06
7,Matches/MatchScorecard_ODI.asp?MatchCode=4026,2017-05-21
8,Matches/MatchScorecard_T20.asp?MatchCode=0646,2017-04-11
9,Matches/MatchScorecard_ODI.asp?MatchCode=4032,2017-02-06
10,Matches/MatchScorecard_T20.asp?MatchCode=0489,2016-10-01
11,Matches/MatchScorecard_ODI.asp?MatchCode=3888,2016-08-02
12,Matches/MatchScorecard_ODI.asp?MatchCode=3886,2016-06-02
13,Matches/MatchScorecard_ODI.asp?MatchCode=3872,2016-05-01
14,Matches/MatchScorecard_T20.asp?MatchCode=0568,2016-03-30
15,Matches/MatchScorecard_T20.asp?MatchCode=0558,2016-03-22
16,Matches/MatchScorecard_T20.asp?MatchCode=0552,2016-03-18
17,Matches/MatchScorecard_T20.asp?MatchCode=0548,2016-03-15
18,Matches/MatchScorecard_ODI.asp?MatchCode=3884,2016-03-02
19,Matches/MatchScorecard_ODI.asp?MatchCode=3870,2016-02-01
20,Matches/MatchScorecard_ODI.asp?MatchCode=3883,2016-01-31
21,Matches/MatchScorecard_T20.asp?MatchCode=0496,2016-01-22
22,Matches/MatchScorecard_T20.asp?MatchCode=0492,2016-01-17
23,Matches/MatchScorecard_T20.asp?MatchCode=0491,2016-01-15
24,Matches/MatchScorecard_ODI.asp?MatchCode=3868,2015-12-31
25,Matches/MatchScorecard_ODI.asp?MatchCode=3865,2015-12-26
26,Matches/MatchScorecard_ODI.asp?MatchCode=3723,2015-11-01
27,Matches/MatchScorecard_T20.asp?MatchCode=0462,2015-09-08
28,Matches/MatchScorecard_ODI.asp?MatchCode=3828,2015-08-26
29,Matches/MatchScorecard_ODI.asp?MatchCode=3827,2015-08-23
30,Matches/MatchScorecard_ODI.asp?MatchCode=3826,2015-08-19
31,Matches/MatchScorecard_T20.asp?MatchCode=0464,2015-08-16
32,Matches/MatchScorecard_T20.asp?MatchCode=0463,2015-08-14
33,Matches/MatchScorecard_ODI.asp?MatchCode=3778,2015-08-03
34,Matches/MatchScorecard_ODI.asp?MatchCode=3793,2015-03-21
35,Matches/MatchScorecard_ODI.asp?MatchCode=3747,2015-03-02
36,Matches/MatchScorecard_ODI.asp?MatchCode=3767,2015-02-28
37,Matches/MatchScorecard_ODI.asp?MatchCode=3756,2015-02-20
38,Matches/MatchScorecard_ODI.asp?MatchCode=3753,2015-02-17
39,Matches/MatchScorecard_ODI.asp?MatchCode=3748,2015-02-14
40,Matches/MatchScorecard_ODI.asp?MatchCode=3745,2015-01-31
41,Matches/MatchScorecard_ODI.asp?MatchCode=3734,2015-01-20
42,Matches/MatchScorecard_ODI.asp?MatchCode=3726,2015-01-15
43,Matches/MatchScorecard_ODI.asp?MatchCode=3720,2014-12-19
44,Matches/MatchScorecard_ODI.asp?MatchCode=3719,2014-12-17
45,Matches/MatchScorecard_ODI.asp?MatchCode=3715,2014-12-12
46,Matches/MatchScorecard_T20.asp?MatchCode=0357,2014-11-01
47,Matches/MatchScorecard_ODI.asp?MatchCode=3713,2014-08-12
48,Matches/MatchScorecard_T20.asp?MatchCode=0420,2014-04-12
49,Matches/MatchScorecard_ODI.asp?MatchCode=3601,2014-01-19
50,Matches/MatchScorecard_T20.asp?MatchCode=0358,2014-01-15
51,Matches/MatchScorecard_ODI.asp?MatchCode=3596,2014-01-01
52,Matches/MatchScorecard_ODI.asp?MatchCode=3578,2013-12-11
53,Matches/MatchScorecard_ODI.asp?MatchCode=3576,2013-10-11
54,Matches/MatchScorecard_ODI.asp?MatchCode=3573,2013-03-11
55,Matches/MatchScorecard_ODI.asp?MatchCode=3449,2012-12-11
56,Matches/MatchScorecard_T20.asp?MatchCode=0264,2012-11-09
57,Matches/MatchScorecard_ODI.asp?MatchCode=3448,2012-10-11
58,Matches/MatchScorecard_T20.asp?MatchCode=0274,2012-09-23
59,Matches/MatchScorecard_T20.asp?MatchCode=0197,2010-12-30
60,Matches/MatchScorecard_T20.asp?MatchCode=0195,2010-12-26
